circuit_id,zx_preopt,status,runtime_sec,exit_code,output_dir,tensor_size,error
basis_change_p4_o3,on,ok,0.13705801963806152,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/basis_change_p4_o3,27,
basis_change_p4_o4,on,ok,0.39324092864990234,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/basis_change_p4_o4,39,
basis_change_p4_o5,on,ok,0.28101015090942383,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/basis_change_p4_o5,51,
basis_change_p5_o3,on,ok,0.14056396484375,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/basis_change_p5_o3,39,
basis_change_p5_o4,on,ok,0.6140491962432861,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/basis_change_p5_o4,56,
basis_change_p6_o3,on,ok,0.38196802139282227,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/basis_change_p6_o3,51,
basis_change_p7_o3,on,ok,0.972541093826294,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/basis_change_p7_o3,63,
cuccaro_adder_n3,on,ok,0.2914268970489502,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/cuccaro_adder_n3,8,
cuccaro_adder_n4,on,ok,0.06017589569091797,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/cuccaro_adder_n4,12,
cuccaro_adder_n5,on,ok,0.03772735595703125,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/cuccaro_adder_n5,16,
cuccaro_adder_n6,on,ok,0.05058908462524414,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/cuccaro_adder_n6,20,
cuccaro_adder_n7,on,ok,0.03195977210998535,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/cuccaro_adder_n7,24,
cuccaro_adder_n8,on,ok,0.157958984375,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/cuccaro_adder_n8,28,
cuccaro_adder_n9,on,ok,0.08463096618652344,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/cuccaro_adder_n9,32,
cuccaro_adder_n10,on,ok,0.23885703086853027,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/cuccaro_adder_n10,36,
hamming_weight_n4,on,ok,3.354499101638794,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_weight_n4,9,
hamming_weight_n5,on,ok,0.1923530101776123,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_weight_n5,10,
hamming_weight_n6,on,ok,0.2522120475769043,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_weight_n6,12,
hamming_weight_n7,on,ok,0.04891800880432129,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_weight_n7,13,
hamming_weight_n8,on,ok,0.036340951919555664,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_weight_n8,21,
hamming_weight_n9,on,ok,0.03174877166748047,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_weight_n9,22,
hamming_weight_n10,on,ok,0.03345894813537598,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_weight_n10,24,
hamming_weight_n11,on,ok,0.056791067123413086,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_weight_n11,25,
hamming_weight_n12,on,ok,0.09669804573059082,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_weight_n12,30,
hamming_weight_n13,on,ok,0.06726622581481934,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_weight_n13,31,
hamming_weight_n14,on,ok,0.05182003974914551,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_weight_n14,33,
hamming_weight_n15,on,ok,0.04829096794128418,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_weight_n15,34,
hamming_weight_n16,on,ok,0.15530180931091309,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_weight_n16,45,
hamming_weight_n17,on,ok,0.08116722106933594,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_weight_n17,46,
hamming_weight_n18,on,ok,0.232619047164917,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_weight_n18,48,
hamming_weight_n19,on,ok,0.25539302825927734,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_weight_n19,49,
hamming_weight_n20,on,ok,0.10928702354431152,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_weight_n20,54,
unary_iteration_n3,on,ok,0.02831411361694336,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/unary_iteration_n3,20,
unary_iteration_n4,on,ok,0.11418819427490234,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/unary_iteration_n4,38,
unary_iteration_n5,on,ok,0.5936908721923828,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/unary_iteration_n5,72,
8_bit_adder,on,ok,0.28280091285705566,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/8_bit_adder,61,
barenco_tof_3,on,ok,0.011898994445800781,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/barenco_tof_3,8,
barenco_tof_4,on,ok,0.019373178482055664,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/barenco_tof_4,14,
barenco_tof_5,on,ok,0.039389848709106445,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/barenco_tof_5,20,
barenco_tof_10,on,ok,1.5586490631103516,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/barenco_tof_10,50,
csla_mux_3,on,ok,0.34368896484375,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/csla_mux_3,21,
csum_mux_9,on,ok,0.30092382431030273,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/csum_mux_9,42,
gf_2pow2_mult,on,ok,0.060575008392333984,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/gf_2pow2_mult,6,
gf_2pow3_mult,on,ok,0.12734103202819824,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/gf_2pow3_mult,9,
gf_2pow4_mult,on,ok,0.12388992309570312,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/gf_2pow4_mult,12,
gf_2pow5_mult,on,ok,0.09752106666564941,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/gf_2pow5_mult,15,
gf_2pow6_mult,on,ok,0.1978757381439209,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/gf_2pow6_mult,18,
gf_2pow7_mult,on,ok,0.24240517616271973,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/gf_2pow7_mult,21,
gf_2pow8_mult,on,ok,0.6504077911376953,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/gf_2pow8_mult,24,
gf_2pow9_mult,on,ok,0.6332871913909912,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/gf_2pow9_mult,27,
gf_2pow10_mult,on,ok,0.8737826347351074,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/gf_2pow10_mult,30,
grover_5,on,ok,0.8680310249328613,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/grover_5,77,
hamming_15_high,on,ok,224.47278308868408,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_15_high,351,
hamming_15_low,on,ok,0.12280869483947754,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_15_low,42,
hamming_15_med,on,ok,0.2926509380340576,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hamming_15_med,71,
hwb_6,on,ok,0.02471017837524414,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/hwb_6,27,
mod_5_4,on,ok,0.01915717124938965,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/mod_5_4,5,
mod_adder_1024,on,ok,160.96843314170837,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/mod_adder_1024,331,
mod_mult_55,on,ok,0.018198013305664062,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/mod_mult_55,11,
mod_red_21,on,ok,0.0747671127319336,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/mod_red_21,28,
nc_tof_3,on,ok,0.023752212524414062,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/nc_tof_3,7,
nc_tof_4,on,ok,0.013068914413452148,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/nc_tof_4,11,
nc_tof_5,on,ok,0.010818004608154297,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/nc_tof_5,15,
nc_tof_10,on,ok,0.021255970001220703,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/nc_tof_10,35,
qcla_adder_10,on,ok,0.09381508827209473,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/qcla_adder_10,60,
qcla_com_7,on,ok,0.049849748611450195,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/qcla_com_7,42,
qcla_mod_7,on,ok,0.33617401123046875,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/qcla_mod_7,84,
qft_4,on,ok,0.02598094940185547,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/qft_4,43,
rc_adder_6,on,ok,0.017861127853393555,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/rc_adder_6,24,
vbe_adder_3,on,ok,0.015619993209838867,0,/Users/caio/Deep-Learning/project/results/compile_stage1/quizx/vbe_adder_3,14,
