circuit_id,method,status,assembled_qasm_path,error
basis_change_p4_o3,public_resynth_no_gadgets,not-available,,Missing public decomposition for basis_change_p4_o3
basis_change_p4_o4,public_resynth_no_gadgets,not-available,,Missing public decomposition for basis_change_p4_o4
basis_change_p4_o5,public_resynth_no_gadgets,not-available,,Missing public decomposition for basis_change_p4_o5
basis_change_p5_o3,public_resynth_no_gadgets,not-available,,Missing public decomposition for basis_change_p5_o3
basis_change_p5_o4,public_resynth_no_gadgets,not-available,,Missing public decomposition for basis_change_p5_o4
basis_change_p6_o3,public_resynth_no_gadgets,not-available,,Missing public decomposition for basis_change_p6_o3
basis_change_p7_o3,public_resynth_no_gadgets,not-available,,Missing public decomposition for basis_change_p7_o3
cuccaro_adder_n3,public_resynth_no_gadgets,not-available,,Missing public decomposition for cuccaro_adder_n3
cuccaro_adder_n4,public_resynth_no_gadgets,not-available,,Missing public decomposition for cuccaro_adder_n4
cuccaro_adder_n5,public_resynth_no_gadgets,not-available,,Missing public decomposition for cuccaro_adder_n5
cuccaro_adder_n6,public_resynth_no_gadgets,not-available,,Missing public decomposition for cuccaro_adder_n6
cuccaro_adder_n7,public_resynth_no_gadgets,not-available,,Missing public decomposition for cuccaro_adder_n7
cuccaro_adder_n8,public_resynth_no_gadgets,not-available,,Missing public decomposition for cuccaro_adder_n8
cuccaro_adder_n9,public_resynth_no_gadgets,not-available,,Missing public decomposition for cuccaro_adder_n9
cuccaro_adder_n10,public_resynth_no_gadgets,not-available,,Missing public decomposition for cuccaro_adder_n10
hamming_weight_n4,public_resynth_no_gadgets,not-available,,Missing public decomposition for hamming_weight_n4
hamming_weight_n5,public_resynth_no_gadgets,not-available,,Missing public decomposition for hamming_weight_n5
hamming_weight_n6,public_resynth_no_gadgets,not-available,,Missing public decomposition for hamming_weight_n6
hamming_weight_n7,public_resynth_no_gadgets,not-available,,Missing public decomposition for hamming_weight_n7
hamming_weight_n8,public_resynth_no_gadgets,not-available,,Missing public decomposition for hamming_weight_n8
hamming_weight_n9,public_resynth_no_gadgets,not-available,,Missing public decomposition for hamming_weight_n9
hamming_weight_n10,public_resynth_no_gadgets,not-available,,Missing public decomposition for hamming_weight_n10
hamming_weight_n11,public_resynth_no_gadgets,not-available,,Missing public decomposition for hamming_weight_n11
hamming_weight_n12,public_resynth_no_gadgets,not-available,,Missing public decomposition for hamming_weight_n12
hamming_weight_n13,public_resynth_no_gadgets,not-available,,Missing public decomposition for hamming_weight_n13
hamming_weight_n14,public_resynth_no_gadgets,not-available,,Missing public decomposition for hamming_weight_n14
hamming_weight_n15,public_resynth_no_gadgets,not-available,,Missing public decomposition for hamming_weight_n15
