circuit_id,candidate_id,combo_index,status,selection_status,selection_error,source_methods,decomposition_keys,candidate_indices,num_blocks,num_gadget_blocks,num_no_gadget_blocks,gadget_block_fraction,uses_any_gadget_source,block_tcount_sum,block_tdepth_sum,structural_cost,alphaq_target_status,alphaq_target_error,alphaq_nc_core_area_ratio,alphaq_dependency_core_area_ratio,alphaq_nc_core_area_delta_vs_original,alphaq_dependency_core_area_delta_vs_original,alphaq_nc_core_depth_ratio,alphaq_nc_core_width_ratio,alphaq_dependency_core_depth_ratio,alphaq_dependency_core_width_ratio,alphaq_total_depth_ratio,alphaq_total_area_ratio,alphaq_border_status,alphaq_border_error,alphaq_total_depth,alphaq_total_width,alphaq_total_area,alphaq_nc_core_depth,alphaq_nc_core_width,alphaq_nc_core_area,alphaq_core_tcount,alphaq_crossing_closure_count,alphaq_dependency_core_depth,alphaq_dependency_core_width,alphaq_dependency_core_area,alphaq_dependency_core_size,alphaq_dependency_core_tcount,alphaq_dependency_entangling_count,alphaq_dependency_closure_rounds,alphaq_dependency_internal_edge_count,alphaq_dependency_boundary_edge_count,alphaq_dependency_component_count,alphaq_dependency_largest_component_size,alphaq_dependency_largest_component_fraction,alphaq_dependency_chain_depth,alphaq_dependency_edge_density,alphaq_left_nc_core_depth,alphaq_left_nc_core_width,alphaq_left_nc_core_area,alphaq_left_crossing_closure_count,alphaq_right_nc_core_depth,alphaq_right_nc_core_width,alphaq_right_nc_core_area,alphaq_right_crossing_closure_count,alphaq_prefix_clifford_depth,alphaq_suffix_clifford_depth,alphaq_clifford_shaved_depth_fraction,primary_nc_depth_ratio,primary_nc_depth_delta_vs_original,zx_total_depth_ratio,qasm_depth_ratio,tcount_ratio,tdepth_ratio,gate_count_ratio,tcount_after,tdepth_after,depth_after,gate_count_after,rho_t,rho_w,n_clifford_blocks,n_nonclifford_blocks,avg_nonclifford_block_len,hadamard_boundary_density,tdepth_over_tcount,candidate_qasm_path
cuccaro_adder_n3,cuccaro_adder_n3:combo0,0,ok,ok,,public_resynth_gadgets,cuccaro_adder_n3,0,1,1,0,1.0,1,14,4,3.303326810176125,ok,,0.5205479452054794,3.303326810176125,-0.3835616438356164,2.3170254403131114,0.5205479452054794,1.0,2.8904109589041096,1.1428571428571428,3.315068493150685,3.7886497064579254,ok,,242,8,1936,38,7,266,14,26,211,8,1688,246,14,219,20,414,67,1,246,1.0,211,1.689795918367347,214,8,1712,201,66,8,528,45,28,176,0.8429752066115702,0.9090909090909091,-0.038961038961038974,3.324675324675325,3.315068493150685,0.3333333333333333,0.4,2.980392156862745,14,4,242,304,0.046052631578947366,0.32558139534883723,11,10,1.4,0.3,0.2857142857142857,results/public_resynth_structural/public_resynth_structural/cuccaro_adder_n3/structural_combinations/combo0/assembled.qasm
hamming_weight_n4,hamming_weight_n4:combo0,0,ok,ok,,public_resynth_gadgets,hamming_weight_n4,0,1,1,0,1.0,1,21,6,7.676470588235294,ok,,2.457983193277311,7.676470588235294,1.6050420168067228,6.676470588235294,1.911764705882353,1.2857142857142858,5.970588235294118,1.2857142857142858,6.5,8.357142857142858,ok,,221,9,1989,65,9,585,21,50,203,9,1827,264,21,217,14,439,52,1,264,1.0,203,1.6692015209125475,211,9,1899,205,75,9,675,63,10,146,0.7058823529411765,2.5675675675675675,1.6216216216216215,7.027027027027027,6.5,1.0,1.0,5.9423076923076925,21,6,221,309,0.06796116504854369,0.42168674698795183,16,15,1.4,0.3,0.2857142857142857,results/public_resynth_structural/public_resynth_structural/hamming_weight_n4/structural_combinations/combo0/assembled.qasm
hamming_weight_n5,hamming_weight_n5:combo0,0,ok,ok,,public_resynth_gadgets,hamming_weight_n5,0,1,1,0,1.0,1,21,4,6.776315789473684,ok,,1.9407894736842106,6.776315789473684,1.0723684210526316,5.776315789473684,1.5526315789473684,1.25,5.421052631578948,1.25,5.894736842105263,7.368421052631579,ok,,224,10,2240,59,10,590,21,48,206,10,2060,280,21,233,14,466,53,1,280,1.0,206,1.6702508960573477,213,10,2130,221,70,10,700,61,11,154,0.7366071428571429,2.1951219512195124,1.2439024390243905,6.390243902439025,5.894736842105263,1.0,0.6666666666666666,5.839285714285714,21,4,224,327,0.06422018348623854,0.4069767441860465,16,15,1.4,0.3,0.19047619047619047,results/public_resynth_structural/public_resynth_structural/hamming_weight_n5/structural_combinations/combo0/assembled.qasm
gf_2pow2_mult,gf_2pow2_mult:combo0,0,ok,ok,,public_resynth_no_gadgets,gf_2pow2_mult_comp2,0,1,0,1,0.0,0,17,12,3.5238095238095237,ok,,2.0,3.5238095238095237,1.0714285714285714,2.5476190476190474,2.0,1.0,3.5238095238095237,1.0,4.023809523809524,4.023809523809524,ok,,169,6,1014,84,6,504,17,72,148,6,888,170,17,153,14,278,52,1,170,1.0,148,1.6449704142011834,157,6,942,145,96,6,576,80,12,73,0.5029585798816568,2.227272727272727,1.2499999999999998,4.295454545454546,4.023809523809524,0.6071428571428571,1.5,3.459016393442623,17,12,169,211,0.08056872037914692,0.46703296703296704,18,17,1.0,0.0,0.7058823529411765,results/public_resynth_structural/public_resynth_structural/gf_2pow2_mult/structural_combinations/combo0/assembled.qasm
gf_2pow2_mult,gf_2pow2_mult:combo1,1,ok,ok,,public_resynth_no_gadgets,gf_2pow2_mult_comp2,1,1,0,1,0.0,0,17,8,2.0952380952380953,ok,,1.8571428571428572,2.0952380952380953,0.9285714285714286,1.119047619047619,1.8571428571428572,1.0,2.0952380952380953,1.0,3.8095238095238093,3.8095238095238093,ok,,160,6,960,78,6,468,17,69,88,6,528,101,17,84,4,171,22,1,101,1.0,88,1.71,148,6,888,141,90,6,540,77,12,70,0.5125,2.159090909090909,1.1818181818181819,4.181818181818182,3.8095238095238093,0.6071428571428571,1.0,3.4262295081967213,17,8,160,209,0.08133971291866028,0.4696132596685083,18,17,1.0,0.0,0.47058823529411764,results/public_resynth_structural/public_resynth_structural/gf_2pow2_mult/structural_combinations/combo1/assembled.qasm
gf_2pow2_mult,gf_2pow2_mult:combo2,2,ok,ok,,public_resynth_no_gadgets,gf_2pow2_mult_comp2,2,1,0,1,0.0,0,17,6,2.0952380952380953,ok,,1.7380952380952381,2.0952380952380953,0.8095238095238095,1.119047619047619,1.7380952380952381,1.0,2.0952380952380953,1.0,3.8333333333333335,3.8333333333333335,ok,,161,6,966,73,6,438,17,64,88,6,528,100,17,83,3,165,28,1,100,1.0,88,1.6666666666666667,148,6,888,139,86,6,516,73,13,75,0.546583850931677,2.0681818181818183,1.090909090909091,4.204545454545454,3.8333333333333335,0.6071428571428571,0.75,3.4754098360655736,17,6,161,212,0.08018867924528301,0.4657534246575342,18,17,1.0,0.0,0.35294117647058826,results/public_resynth_structural/public_resynth_structural/gf_2pow2_mult/structural_combinations/combo2/assembled.qasm
gf_2pow2_mult,gf_2pow2_mult:combo3,3,ok,ok,,public_resynth_no_gadgets,gf_2pow2_mult_comp2,3,1,0,1,0.0,0,17,12,3.261904761904762,ok,,1.8333333333333333,3.261904761904762,0.9047619047619047,2.2857142857142856,1.8333333333333333,1.0,3.261904761904762,1.0,3.761904761904762,3.761904761904762,ok,,158,6,948,77,6,462,17,64,137,6,822,158,17,141,13,254,52,1,158,1.0,137,1.6178343949044587,147,6,882,134,88,6,528,71,11,70,0.5126582278481012,2.0454545454545454,1.0681818181818181,4.0,3.761904761904762,0.6071428571428571,1.5,3.262295081967213,17,12,158,199,0.08542713567839195,0.48295454545454547,18,17,1.0,0.029411764705882353,0.7058823529411765,results/public_resynth_structural/public_resynth_structural/gf_2pow2_mult/structural_combinations/combo3/assembled.qasm
gf_2pow2_mult,gf_2pow2_mult:combo4,4,ok,ok,,public_resynth_no_gadgets,gf_2pow2_mult_comp2,4,1,0,1,0.0,0,17,8,2.0,ok,,1.7142857142857142,2.0,0.7857142857142856,1.0238095238095237,1.7142857142857142,1.0,2.0,1.0,3.6666666666666665,3.6666666666666665,ok,,154,6,924,72,6,432,17,61,84,6,504,95,17,78,4,158,26,1,95,1.0,84,1.6808510638297873,143,6,858,136,83,6,498,68,11,72,0.538961038961039,1.9772727272727273,1.0,4.090909090909091,3.6666666666666665,0.6071428571428571,1.0,3.3934426229508197,17,8,154,207,0.0821256038647343,0.4722222222222222,18,17,1.0,0.0,0.47058823529411764,results/public_resynth_structural/public_resynth_structural/gf_2pow2_mult/structural_combinations/combo4/assembled.qasm
gf_2pow2_mult,gf_2pow2_mult:combo5,5,ok,ok,,public_resynth_no_gadgets,gf_2pow2_mult_comp2,5,1,0,1,0.0,0,17,12,2.0952380952380953,ok,,1.8571428571428572,2.0952380952380953,0.9285714285714286,1.119047619047619,1.8571428571428572,1.0,2.0952380952380953,1.0,3.761904761904762,3.761904761904762,ok,,158,6,948,78,6,468,17,66,88,6,528,100,17,83,3,162,28,1,100,1.0,88,1.6363636363636365,148,6,888,142,88,6,528,72,10,73,0.5253164556962026,2.0454545454545454,1.0681818181818181,4.068181818181818,3.761904761904762,0.6071428571428571,1.5,3.4754098360655736,17,12,158,212,0.08018867924528301,0.4657534246575342,18,17,1.0,0.0,0.7058823529411765,results/public_resynth_structural/public_resynth_structural/gf_2pow2_mult/structural_combinations/combo5/assembled.qasm
gf_2pow2_mult,gf_2pow2_mult:combo6,6,ok,ok,,public_resynth_no_gadgets,gf_2pow2_mult_comp2,6,1,0,1,0.0,0,17,12,1.8095238095238095,ok,,1.5952380952380953,1.8095238095238095,0.6666666666666667,0.8333333333333334,1.5952380952380953,1.0,1.8095238095238095,1.0,3.5238095238095237,3.5238095238095237,ok,,148,6,888,67,6,402,17,58,76,6,456,91,17,74,4,146,26,1,91,1.0,76,1.6222222222222222,136,6,816,131,79,6,474,66,12,71,0.5608108108108109,1.8863636363636365,0.9090909090909092,4.045454545454546,3.5238095238095237,0.6071428571428571,1.5,3.3114754098360657,17,12,148,202,0.08415841584158416,0.4788732394366197,18,17,1.0,0.029411764705882353,0.7058823529411765,results/public_resynth_structural/public_resynth_structural/gf_2pow2_mult/structural_combinations/combo6/assembled.qasm
