circuit_id,candidate_id,combo_index,status,selection_status,selection_error,source_methods,decomposition_keys,candidate_indices,num_blocks,num_gadget_blocks,num_no_gadget_blocks,gadget_block_fraction,uses_any_gadget_source,block_tcount_sum,block_tdepth_sum,structural_cost,alphaq_target_status,alphaq_target_error,alphaq_nc_core_area_ratio,alphaq_dependency_core_area_ratio,alphaq_nc_core_area_delta_vs_original,alphaq_dependency_core_area_delta_vs_original,alphaq_nc_core_depth_ratio,alphaq_nc_core_width_ratio,alphaq_dependency_core_depth_ratio,alphaq_dependency_core_width_ratio,alphaq_total_depth_ratio,alphaq_total_area_ratio,alphaq_border_status,alphaq_border_error,alphaq_total_depth,alphaq_total_width,alphaq_total_area,alphaq_nc_core_depth,alphaq_nc_core_width,alphaq_nc_core_area,alphaq_core_tcount,alphaq_crossing_closure_count,alphaq_dependency_core_depth,alphaq_dependency_core_width,alphaq_dependency_core_area,alphaq_dependency_core_size,alphaq_dependency_core_tcount,alphaq_dependency_entangling_count,alphaq_dependency_closure_rounds,alphaq_dependency_internal_edge_count,alphaq_dependency_boundary_edge_count,alphaq_dependency_component_count,alphaq_dependency_largest_component_size,alphaq_dependency_largest_component_fraction,alphaq_dependency_chain_depth,alphaq_dependency_edge_density,alphaq_left_nc_core_depth,alphaq_left_nc_core_width,alphaq_left_nc_core_area,alphaq_left_crossing_closure_count,alphaq_right_nc_core_depth,alphaq_right_nc_core_width,alphaq_right_nc_core_area,alphaq_right_crossing_closure_count,alphaq_prefix_clifford_depth,alphaq_suffix_clifford_depth,alphaq_clifford_shaved_depth_fraction,primary_nc_depth_ratio,primary_nc_depth_delta_vs_original,zx_total_depth_ratio,qasm_depth_ratio,tcount_ratio,tdepth_ratio,gate_count_ratio,tcount_after,tdepth_after,depth_after,gate_count_after,rho_t,rho_w,n_clifford_blocks,n_nonclifford_blocks,avg_nonclifford_block_len,hadamard_boundary_density,tdepth_over_tcount,candidate_qasm_path
hwb_6,hwb_6:combo0,0,ok,ok,,public_resynth_no_gadgets,hwb_6,0,1,0,1,0.0,0,51,14,26.06553755522828,ok,,13.659057437407952,26.06553755522828,12.715758468335787,25.09131075110457,3.5412371134020617,3.857142857142857,6.757731958762887,3.857142857142857,7.170103092783505,27.656111929307805,ok,,1391,27,37557,687,27,18549,51,687,1311,27,35397,1574,51,1523,25,2790,401,1,1574,1.0,1311,1.7736808645899556,1365,27,36855,1497,713,27,19251,713,27,678,0.5068296189791517,3.493087557603687,2.525345622119816,7.617511520737327,7.170103092783505,0.4857142857142857,0.5833333333333334,5.896551724137931,51,14,1391,1881,0.02711323763955343,0.21794871794871795,52,51,1.0,0.0392156862745098,0.27450980392156865,results/public_resynth_structural/public_resynth_structural/hwb_6/structural_combinations/combo0/assembled.qasm
hwb_6,hwb_6:combo1,1,ok,ok,,public_resynth_no_gadgets,hwb_6,1,1,0,1,0.0,0,51,11,27.298232695139912,ok,,14.812223858615612,27.298232695139912,13.868924889543447,26.324005891016203,3.8402061855670104,3.857142857142857,7.077319587628866,3.857142857142857,7.515463917525773,28.98821796759941,ok,,1458,27,39366,745,27,20115,51,777,1373,27,37071,1665,51,1614,23,2970,403,1,1665,1.0,1373,1.7848557692307692,1432,27,38664,1586,771,27,20817,805,26,687,0.4890260631001372,3.751152073732719,2.783410138248848,7.838709677419355,7.515463917525773,0.4857142857142857,0.4583333333333333,6.169278996865204,51,11,1458,1968,0.025914634146341462,0.21013597033374537,52,51,1.0,0.0196078431372549,0.21568627450980393,results/public_resynth_structural/public_resynth_structural/hwb_6/structural_combinations/combo1/assembled.qasm
hwb_6,hwb_6:combo2,2,ok,ok,,public_resynth_no_gadgets,hwb_6,2,1,0,1,0.0,0,51,11,24.693667157584684,ok,,12.446244477172312,24.693667157584684,11.502945508100147,23.719440353460975,3.2268041237113403,3.857142857142857,6.402061855670103,3.857142857142857,6.819587628865979,26.304123711340207,ok,,1323,27,35721,626,27,16902,51,649,1242,27,33534,1527,51,1476,22,2697,395,1,1527,1.0,1242,1.7673656618610747,1296,27,34992,1450,653,27,17631,675,27,674,0.5298563869992441,3.28110599078341,2.313364055299539,7.304147465437788,6.819587628865979,0.4857142857142857,0.4583333333333333,5.724137931034483,51,11,1323,1826,0.02792990142387733,0.22319474835886213,51,50,1.02,0.02,0.21568627450980393,results/public_resynth_structural/public_resynth_structural/hwb_6/structural_combinations/combo2/assembled.qasm
hwb_6,hwb_6:combo3,3,ok,ok,,public_resynth_no_gadgets,hwb_6,3,1,0,1,0.0,0,51,12,28.153166421207658,ok,,15.647275405007363,28.153166421207658,14.703976435935198,27.178939617083948,4.056701030927835,3.857142857142857,7.298969072164948,3.857142857142857,7.762886597938144,29.94256259204713,ok,,1506,27,40662,787,27,21249,51,799,1416,27,38232,1683,51,1632,24,3001,401,1,1683,1.0,1416,1.7841854934601664,1479,27,39933,1606,814,27,21978,825,27,692,0.47742363877822047,3.9585253456221197,2.9907834101382487,8.036866359447005,7.762886597938144,0.4857142857142857,0.5,6.216300940438871,51,12,1506,1983,0.025718608169440244,0.20884520884520885,52,51,1.0,0.0196078431372549,0.23529411764705882,results/public_resynth_structural/public_resynth_structural/hwb_6/structural_combinations/combo3/assembled.qasm
hwb_6,hwb_6:combo4,4,ok,ok,,public_resynth_no_gadgets,hwb_6,4,1,0,1,0.0,0,51,18,26.62223858615611,ok,,14.096465390279823,26.62223858615611,13.153166421207658,25.648011782032402,3.654639175257732,3.857142857142857,6.902061855670103,3.857142857142857,7.381443298969073,28.471281296023562,ok,,1432,27,38664,709,27,19143,51,714,1339,27,36153,1615,51,1564,25,2850,441,1,1615,1.0,1339,1.7657992565055762,1405,27,37935,1538,736,27,19872,740,27,696,0.5048882681564246,3.5668202764976957,2.5990783410138247,7.847926267281106,7.381443298969073,0.4857142857142857,0.75,6.131661442006269,51,18,1432,1956,0.02607361963190184,0.2111801242236025,51,50,1.02,0.01,0.35294117647058826,results/public_resynth_structural/public_resynth_structural/hwb_6/structural_combinations/combo4/assembled.qasm
hwb_6,hwb_6:combo5,5,ok,ok,,public_resynth_no_gadgets,hwb_6,5,1,0,1,0.0,0,51,16,28.192930780559646,ok,,15.746686303387333,28.192930780559646,14.803387334315168,27.218703976435936,4.082474226804123,3.857142857142857,7.309278350515464,3.857142857142857,7.737113402061856,29.843151693667156,ok,,1501,27,40527,792,27,21384,51,783,1418,27,38286,1675,51,1624,24,2980,417,1,1675,1.0,1418,1.7801672640382318,1475,27,39825,1599,818,27,22086,808,26,683,0.47235176548967356,3.880184331797235,2.912442396313364,8.073732718894009,7.737113402061856,0.4857142857142857,0.6666666666666666,6.2727272727272725,51,16,1501,2001,0.025487256371814093,0.2073170731707317,52,51,1.0,0.0196078431372549,0.3137254901960784,results/public_resynth_structural/public_resynth_structural/hwb_6/structural_combinations/combo5/assembled.qasm
hwb_6,hwb_6:combo6,6,ok,ok,,public_resynth_no_gadgets,hwb_6,6,1,0,1,0.0,0,51,11,27.3379970544919,ok,,14.871870397643594,27.3379970544919,13.928571428571429,26.36377025036819,3.8556701030927836,3.857142857142857,7.087628865979381,3.857142857142857,7.541237113402062,29.087628865979383,ok,,1463,27,39501,748,27,20196,51,820,1375,27,37125,1735,51,1684,25,3079,461,1,1735,1.0,1375,1.7756632064590543,1437,27,38799,1659,774,27,20898,845,26,689,0.48872180451127817,3.903225806451613,2.935483870967742,8.308755760368664,7.541237113402062,0.4857142857142857,0.4583333333333333,6.586206896551724,51,11,1463,2101,0.02427415516420752,0.19921875,52,51,1.0,0.0392156862745098,0.21568627450980393,results/public_resynth_structural/public_resynth_structural/hwb_6/structural_combinations/combo6/assembled.qasm
hwb_6,hwb_6:combo7,7,ok,ok,,public_resynth_no_gadgets,hwb_6,7,1,0,1,0.0,0,51,14,28.749631811487482,ok,,16.223858615611192,28.749631811487482,15.280559646539027,27.775405007363773,4.206185567010309,3.857142857142857,7.453608247422681,3.857142857142857,7.912371134020619,30.519145802650957,ok,,1535,27,41445,816,27,22032,51,857,1446,27,39042,1776,51,1725,24,3159,463,1,1776,1.0,1446,1.779718309859155,1509,27,40743,1699,842,27,22734,883,26,693,0.46840390879478827,4.216589861751152,3.248847926267281,8.640552995391705,7.912371134020619,0.4857142857142857,0.5833333333333334,6.7272727272727275,51,14,1535,2146,0.023765144454799627,0.19577735124760076,52,51,1.0,0.0196078431372549,0.27450980392156865,results/public_resynth_structural/public_resynth_structural/hwb_6/structural_combinations/combo7/assembled.qasm
hwb_6,hwb_6:combo8,8,ok,ok,,public_resynth_no_gadgets,hwb_6,8,1,0,1,0.0,0,51,12,24.952135493372605,ok,,12.525773195876289,24.952135493372605,11.582474226804123,23.977908689248896,3.247422680412371,3.857142857142857,6.469072164948454,3.857142857142857,6.88659793814433,26.56259204712813,ok,,1336,27,36072,630,27,17010,51,643,1255,27,33885,1513,51,1462,22,2679,369,1,1513,1.0,1255,1.7718253968253967,1309,27,35343,1436,657,27,17739,669,27,679,0.5284431137724551,3.19815668202765,2.230414746543779,7.193548387096774,6.88659793814433,0.4857142857142857,0.5,5.623824451410658,51,12,1336,1794,0.028428093645484948,0.22636484687083888,52,51,1.0,0.00980392156862745,0.23529411764705882,results/public_resynth_structural/public_resynth_structural/hwb_6/structural_combinations/combo8/assembled.qasm
hwb_6,hwb_6:combo9,9,ok,ok,,public_resynth_no_gadgets,hwb_6,9,1,0,1,0.0,0,51,16,26.164948453608247,ok,,13.738586156111928,26.164948453608247,12.795287187039763,25.190721649484537,3.5618556701030926,3.857142857142857,6.783505154639175,3.857142857142857,7.231958762886598,27.894698085419734,ok,,1403,27,37881,691,27,18657,51,693,1316,27,35532,1583,51,1532,25,2792,423,1,1583,1.0,1316,1.7648546144121366,1376,27,37152,1506,718,27,19386,719,27,685,0.5074839629365645,3.5023041474654377,2.5345622119815667,7.649769585253456,7.231958762886598,0.4857142857142857,0.6666666666666666,5.987460815047022,51,16,1403,1910,0.026701570680628273,0.21528070915998312,52,51,1.0,0.00980392156862745,0.3137254901960784,results/public_resynth_structural/public_resynth_structural/hwb_6/structural_combinations/combo9/assembled.qasm
