circuit_id,method,status,selection_objective,selection_status,selection_error,structural_cost,alphaq_target_status,alphaq_target_error,alphaq_nc_core_area_ratio,alphaq_dependency_core_area_ratio,alphaq_nc_core_area_delta_vs_original,alphaq_dependency_core_area_delta_vs_original,alphaq_nc_core_depth_ratio,alphaq_nc_core_width_ratio,alphaq_dependency_core_depth_ratio,alphaq_dependency_core_width_ratio,alphaq_total_depth_ratio,alphaq_total_area_ratio,alphaq_border_status,alphaq_border_error,alphaq_total_depth,alphaq_total_width,alphaq_total_area,alphaq_nc_core_depth,alphaq_nc_core_width,alphaq_nc_core_area,alphaq_core_tcount,alphaq_crossing_closure_count,alphaq_dependency_core_depth,alphaq_dependency_core_width,alphaq_dependency_core_area,alphaq_dependency_core_size,alphaq_dependency_core_tcount,alphaq_dependency_entangling_count,alphaq_dependency_closure_rounds,alphaq_dependency_internal_edge_count,alphaq_dependency_boundary_edge_count,alphaq_dependency_component_count,alphaq_dependency_largest_component_size,alphaq_dependency_largest_component_fraction,alphaq_dependency_chain_depth,alphaq_dependency_edge_density,alphaq_left_nc_core_depth,alphaq_left_nc_core_width,alphaq_left_nc_core_area,alphaq_left_crossing_closure_count,alphaq_right_nc_core_depth,alphaq_right_nc_core_width,alphaq_right_nc_core_area,alphaq_right_crossing_closure_count,alphaq_prefix_clifford_depth,alphaq_suffix_clifford_depth,alphaq_clifford_shaved_depth_fraction,primary_nc_depth_ratio,zx_total_depth_ratio,qasm_depth_ratio,tcount_ratio,tcount_after_selection,tdepth_after_selection,combo_index,assembled_qasm_path,error
cuccaro_adder_n3,public_resynth_structural,ok,structural,ok,,3.303326810176125,ok,,0.5205479452054794,3.303326810176125,-0.3835616438356164,2.3170254403131114,0.5205479452054794,1.0,2.8904109589041096,1.1428571428571428,3.315068493150685,3.7886497064579254,ok,,242,8,1936,38,7,266,14,26,211,8,1688,246,14,219,20,414,67,1,246,1.0,211,1.689795918367347,214,8,1712,201,66,8,528,45,28,176,0.8429752066115702,0.9090909090909091,3.324675324675325,3.315068493150685,0.3333333333333333,14,4,0,results/public_resynth_structural/public_resynth_structural/cuccaro_adder_n3/assembled.qasm,
hamming_weight_n4,public_resynth_structural,ok,structural,ok,,7.676470588235294,ok,,2.457983193277311,7.676470588235294,1.6050420168067228,6.676470588235294,1.911764705882353,1.2857142857142858,5.970588235294118,1.2857142857142858,6.5,8.357142857142858,ok,,221,9,1989,65,9,585,21,50,203,9,1827,264,21,217,14,439,52,1,264,1.0,203,1.6692015209125475,211,9,1899,205,75,9,675,63,10,146,0.7058823529411765,2.5675675675675675,7.027027027027027,6.5,1.0,21,6,0,results/public_resynth_structural/public_resynth_structural/hamming_weight_n4/assembled.qasm,
hamming_weight_n5,public_resynth_structural,ok,structural,ok,,6.776315789473684,ok,,1.9407894736842106,6.776315789473684,1.0723684210526316,5.776315789473684,1.5526315789473684,1.25,5.421052631578948,1.25,5.894736842105263,7.368421052631579,ok,,224,10,2240,59,10,590,21,48,206,10,2060,280,21,233,14,466,53,1,280,1.0,206,1.6702508960573477,213,10,2130,221,70,10,700,61,11,154,0.7366071428571429,2.1951219512195124,6.390243902439025,5.894736842105263,1.0,21,4,0,results/public_resynth_structural/public_resynth_structural/hamming_weight_n5/assembled.qasm,
barenco_tof_3,public_resynth_structural,not-available,structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missing public decomposition for barenco_tof_3
barenco_tof_4,public_resynth_structural,not-available,structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missing public decomposition for barenco_tof_4
gf_2pow2_mult,public_resynth_structural,ok,structural,ok,,1.5,ok,,1.2619047619047619,1.5,0.33333333333333326,0.5238095238095238,1.2619047619047619,1.0,1.5,1.0,3.5,3.5,ok,,147,6,882,53,6,318,21,33,63,6,378,93,21,48,4,129,20,1,93,1.0,63,1.4021739130434783,132,6,792,110,68,6,408,44,15,79,0.6394557823129252,1.7272727272727273,4.045454545454546,3.5,0.75,21,6,11,results/public_resynth_structural/public_resynth_structural/gf_2pow2_mult/assembled.qasm,
hwb_6,public_resynth_structural,ok,structural,ok,,15.945508100147276,ok,,3.5589101620029453,15.945508100147276,2.61561119293078,14.971281296023564,0.9226804123711341,3.857142857142857,4.134020618556701,3.857142857142857,4.551546391752577,17.555964653902798,ok,,883,27,23841,179,27,4833,70,211,802,27,21654,1197,70,1017,23,1946,331,1,1197,1.0,802,1.6270903010033444,856,27,23112,988,206,27,5562,241,29,677,0.7995469988674971,1.6175115207373272,5.460829493087558,4.551546391752577,0.6666666666666666,70,13,14,results/public_resynth_structural/public_resynth_structural/hwb_6/assembled.qasm,
mod_5_4,public_resynth_structural,ok,structural,ok,,0.8305084745762712,ok,,0.08135593220338982,0.8305084745762712,-0.7661016949152541,-0.0847457627118644,0.13559322033898305,0.6,0.8305084745762712,1.0,1.0,1.0,ok,,59,5,295,8,3,24,7,4,49,5,245,63,7,56,14,100,22,1,63,1.0,49,1.6129032258064515,48,5,240,46,19,5,95,15,11,40,0.864406779661017,0.3728813559322034,1.2203389830508475,1.0,0.25,7,4,1,results/public_resynth_structural/public_resynth_structural/mod_5_4/assembled.qasm,
nc_tof_3,public_resynth_structural,not-available,structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missing public decomposition for nc_tof_3
nc_tof_4,public_resynth_structural,not-available,structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missing public decomposition for nc_tof_4
qft_4,public_resynth_structural,ok,structural,ok,,24.66842105263158,ok,,6.419736842105263,24.66842105263158,5.432894736842106,23.675,0.7828947368421053,8.2,2.8684210526315788,8.6,3.388157894736842,29.138157894736842,ok,,515,43,22145,119,41,4879,67,110,436,43,18748,709,67,585,31,972,332,1,709,1.0,436,1.3728813559322033,504,43,21672,580,130,42,5460,117,12,386,0.7728155339805826,1.2378048780487805,4.304878048780488,3.388157894736842,0.9710144927536232,67,21,14,results/public_resynth_structural/public_resynth_structural/qft_4/assembled.qasm,
vbe_adder_3,public_resynth_structural,ok,structural,ok,,4.301030927835051,ok,,1.1835051546391753,4.301030927835051,0.2556701030927835,3.3319587628865976,0.845360824742268,1.4,3.0721649484536084,1.4,3.329896907216495,4.661855670103093,ok,,323,14,4522,82,14,1148,21,80,298,14,4172,409,21,362,10,692,90,1,409,1.0,298,1.696078431372549,304,14,4256,333,101,14,1414,110,19,222,0.7461300309597523,1.37,3.86,3.329896907216495,0.3,21,7,9,results/public_resynth_structural/public_resynth_structural/vbe_adder_3/assembled.qasm,
