task_index,num_tasks,circuit_id,method,method_status,original_qasm_artifact_path,candidate_qasm_artifact_path,tcount_before,tcount_after,verification_status,verification_error,proof_path,runtime_sec,original_normalization_status,candidate_normalization_status
1,24,cuccaro_adder_n3,public_resynth_tensor_v3_phase_slack_aggressive,ok,external/circuit-to-tensor/benchmarks/applications/cuccaro_adder_n3/cuccaro_adder_n3.qasm,results/public_resynth_tensor_v3_phase_slack_aggressive/public_resynth_tensor_v3_phase_slack_aggressive/cuccaro_adder_n3/assembled.qasm,42,14,inconclusive,"Inconclusive (took 0.012s)
Reduced form:
Σ[y₀⋯y₂](-1)^{y₀ + y₀01 + y₀02 + y₀1 + y₀12 + y₀2 + y₀3 + y₁ + y₁y₂ + y₁3 + y₁6 + y₂ + y₂5 + y₂6 + 3 + 35 + 36 + 5 + 56 + 6}|0⟩|1⟩|2⟩|1 + y₂⟩|1 + y₂ + 3 + 4⟩|1 + y₁⟩|y₀⟩",results/verification_tensor_v3_profiles/all/proofs/cuccaro_adder_n3/public_resynth_tensor_v3_phase_slack_aggressive.verify.txt,0.07046914100646973,ok,ok
2,24,cuccaro_adder_n3,public_resynth_tensor_v3_phase_slack_guarded,ok,external/circuit-to-tensor/benchmarks/applications/cuccaro_adder_n3/cuccaro_adder_n3.qasm,results/public_resynth_tensor_v3_phase_slack_expanded/public_resynth_tensor_v3_phase_slack/cuccaro_adder_n3/assembled.qasm,42,14,inconclusive,"Inconclusive (took 0.010s)
Reduced form:
Σ[y₀⋯y₂](-1)^{y₀ + y₀01 + y₀02 + y₀1 + y₀12 + y₀2 + y₀3 + y₁ + y₁y₂ + y₁3 + y₁6 + y₂ + y₂5 + y₂6 + 3 + 35 + 36 + 5 + 56 + 6}|0⟩|1⟩|2⟩|1 + y₂⟩|1 + y₂ + 3 + 4⟩|1 + y₁⟩|y₀⟩",results/verification_tensor_v3_profiles/all/proofs/cuccaro_adder_n3/public_resynth_tensor_v3_phase_slack_guarded.verify.txt,0.03453326225280762,ok,ok
3,24,gf_2pow2_mult,public_resynth_tensor_v3_phase_slack_aggressive,ok,external/circuit-to-tensor/benchmarks/arithmetic/gf_2pow2_mult/gf_2pow2_mult.qasm,results/public_resynth_tensor_v3_phase_slack_aggressive/public_resynth_tensor_v3_phase_slack_aggressive/gf_2pow2_mult/assembled.qasm,28,21,equal,,results/verification_tensor_v3_profiles/all/proofs/gf_2pow2_mult/public_resynth_tensor_v3_phase_slack_aggressive.verify.txt,0.032691001892089844,ok,ok
4,24,gf_2pow2_mult,public_resynth_tensor_v3_phase_slack_guarded,ok,external/circuit-to-tensor/benchmarks/arithmetic/gf_2pow2_mult/gf_2pow2_mult.qasm,results/public_resynth_tensor_v3_phase_slack_expanded/public_resynth_tensor_v3_phase_slack/gf_2pow2_mult/assembled.qasm,28,17,equal,,results/verification_tensor_v3_profiles/all/proofs/gf_2pow2_mult/public_resynth_tensor_v3_phase_slack_guarded.verify.txt,0.023479938507080078,ok,ok
5,24,hamming_weight_n4,public_resynth_tensor_v3_phase_slack_aggressive,ok,external/circuit-to-tensor/benchmarks/applications/hamming_weight_n4/hamming_weight_n4.qasm,results/public_resynth_tensor_v3_phase_slack_aggressive/public_resynth_tensor_v3_phase_slack_aggressive/hamming_weight_n4/assembled.qasm,21,21,equal,,results/verification_tensor_v3_profiles/all/proofs/hamming_weight_n4/public_resynth_tensor_v3_phase_slack_aggressive.verify.txt,0.022881031036376953,ok,ok
6,24,hamming_weight_n4,public_resynth_tensor_v3_phase_slack_guarded,ok,external/circuit-to-tensor/benchmarks/applications/hamming_weight_n4/hamming_weight_n4.qasm,results/public_resynth_tensor_v3_phase_slack_expanded/public_resynth_tensor_v3_phase_slack/hamming_weight_n4/assembled.qasm,21,21,equal,,results/verification_tensor_v3_profiles/all/proofs/hamming_weight_n4/public_resynth_tensor_v3_phase_slack_guarded.verify.txt,0.022473812103271484,ok,ok
7,24,hamming_weight_n5,public_resynth_tensor_v3_phase_slack_aggressive,ok,external/circuit-to-tensor/benchmarks/applications/hamming_weight_n5/hamming_weight_n5.qasm,results/public_resynth_tensor_v3_phase_slack_aggressive/public_resynth_tensor_v3_phase_slack_aggressive/hamming_weight_n5/assembled.qasm,21,21,equal,,results/verification_tensor_v3_profiles/all/proofs/hamming_weight_n5/public_resynth_tensor_v3_phase_slack_aggressive.verify.txt,0.03488922119140625,ok,ok
8,24,hamming_weight_n5,public_resynth_tensor_v3_phase_slack_guarded,ok,external/circuit-to-tensor/benchmarks/applications/hamming_weight_n5/hamming_weight_n5.qasm,results/public_resynth_tensor_v3_phase_slack_expanded/public_resynth_tensor_v3_phase_slack/hamming_weight_n5/assembled.qasm,21,21,equal,,results/verification_tensor_v3_profiles/all/proofs/hamming_weight_n5/public_resynth_tensor_v3_phase_slack_guarded.verify.txt,0.035890817642211914,ok,ok
9,24,mod_5_4,public_resynth_tensor_v3_phase_slack_aggressive,ok,external/circuit-to-tensor/benchmarks/arithmetic/mod_5_4/mod_5_4.qasm,results/public_resynth_tensor_v3_phase_slack_aggressive/public_resynth_tensor_v3_phase_slack_aggressive/mod_5_4/assembled.qasm,28,7,equal,,results/verification_tensor_v3_profiles/all/proofs/mod_5_4/public_resynth_tensor_v3_phase_slack_aggressive.verify.txt,0.023296594619750977,ok,ok
10,24,mod_5_4,public_resynth_tensor_v3_phase_slack_guarded,ok,external/circuit-to-tensor/benchmarks/arithmetic/mod_5_4/mod_5_4.qasm,results/public_resynth_tensor_v3_phase_slack_expanded/public_resynth_tensor_v3_phase_slack/mod_5_4/assembled.qasm,28,7,equal,,results/verification_tensor_v3_profiles/all/proofs/mod_5_4/public_resynth_tensor_v3_phase_slack_guarded.verify.txt,0.020710229873657227,ok,ok
