circuit_id,method,source,family,faixa,n_qubits,tensor_size,tensor_size_no_quizx,tensor_size_quizx,verify_status,runtime_sec,method_status,comparability_status,normalization_status,normalization_error,qasm_artifact_path,tcount_before,tcount_after,delta_t,rel_gain_t,tdepth_before,tdepth_after,delta_tdepth,rho_t,rho_w,rho_w_lambda_5,rho_w_lambda_10,rho_w_lambda_20,n_clifford_blocks,n_nonclifford_blocks,avg_nonclifford_block_len,hadamard_boundary_density,hadamard_boundary_density_w1,hadamard_boundary_density_w2,tdepth_over_tcount,normalized_qasm_num_qubits,normalized_qasm_depth,normalized_qasm_size,demo_log_path,selection_objective,selection_status,selection_error,structural_cost,alphaq_target_status,alphaq_target_error,alphaq_nc_core_area_ratio,alphaq_nc_core_area_delta_vs_original,alphaq_nc_core_depth_ratio,alphaq_nc_core_width_ratio,alphaq_total_depth_ratio,alphaq_total_area_ratio,alphaq_border_status,alphaq_border_error,alphaq_total_depth,alphaq_total_width,alphaq_total_area,alphaq_nc_core_depth,alphaq_nc_core_width,alphaq_nc_core_area,alphaq_core_tcount,alphaq_crossing_closure_count,alphaq_left_nc_core_depth,alphaq_left_nc_core_width,alphaq_left_nc_core_area,alphaq_left_crossing_closure_count,alphaq_right_nc_core_depth,alphaq_right_nc_core_width,alphaq_right_nc_core_area,alphaq_right_crossing_closure_count,alphaq_prefix_clifford_depth,alphaq_suffix_clifford_depth,alphaq_clifford_shaved_depth_fraction,primary_nc_depth_ratio,zx_total_depth_ratio,qasm_depth_ratio,tcount_ratio,tcount_after_selection,tdepth_after_selection,combo_index,source_candidate_id,predicted_structural_cost,predicted_primary_nc_depth_ratio,prediction_std,prediction_tolerance,prediction_margin_from_best,model_json,backend,devices,best_tcount_observed,reference_best_tcount,matched_reference
8_bit_adder,original,vendored-local,arithmetic,L,24,50,50,61,not-run,,ok,full,ok,,external/circuit-to-tensor/benchmarks/arithmetic/8_bit_adder/8_bit_adder.qasm,399,399,0,0.0,44,44,0,0.3537234042553192,0.845518118245391,0.7323788546255506,0.845518118245391,0.9162934894936273,286,285,1.4,0.24912280701754386,0.24912280701754386,0.39824561403508774,0.11027568922305764,24,282,1128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_bit_adder,pyzx,vendored-local,arithmetic,L,24,50,50,61,not-run,6.803485155105591,ok,full,ok,,results/pyzx/8_bit_adder/optimized.qasm,399,173,226,0.5664160401002506,44,18,26,0.1110397946084724,0.5553772070626003,0.3844444444444444,0.5553772070626003,0.7141382868937048,174,173,1.0,1.0982658959537572,1.0982658959537572,1.361271676300578,0.10404624277456648,24,681,1558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_bit_adder,compile_no_quizx,vendored-local,arithmetic,L,24,50,50,61,not-run,,ok,full,ok,,external/circuit-to-tensor/benchmarks/arithmetic/8_bit_adder/8_bit_adder.hopt.qasm,399,173,226,0.5664160401002506,44,66,-22,0.05173444976076555,0.35298918588043254,0.2143211100099108,0.35298918588043254,0.5217915849796411,174,173,1.0,0.017341040462427744,0.017341040462427744,0.02601156069364162,0.3815028901734104,24,2604,3344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_bit_adder,compile_quizx,vendored-local,arithmetic,L,24,50,50,61,not-run,0.28280091285705566,ok,full,ok,,results/compile_stage1/quizx/8_bit_adder/8_bit_adder.hopt.qasm,399,173,226,0.5664160401002506,44,44,0,0.053610164239231484,0.3616220735785953,0.22071957131921408,0.3616220735785953,0.5311636475284004,174,173,1.0,0.014450867052023121,0.014450867052023121,0.02023121387283237,0.2543352601156069,24,2620,3227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_bit_adder,public_resynth_no_gadgets,vendored-local,arithmetic,L,24,50,50,61,not-run,,ok,full,ok,,results/public_resynth/public_resynth_no_gadgets/8_bit_adder/assembled.qasm,399,0,399,1.0,44,0,44,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,59,3753,5014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_bit_adder,public_resynth_gadgets,vendored-local,arithmetic,L,24,50,50,61,not-run,,ok,full,ok,,results/public_resynth/public_resynth_gadgets/8_bit_adder/assembled.qasm,399,0,399,1.0,44,0,44,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,59,3753,5014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_bit_adder,demo_control_no_gadgets,vendored-local,arithmetic,L,24,50,50,61,not-run,,not-run,none,not-run,Missing QASM artifact.,,399,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_bit_adder,demo_control_gadgets,vendored-local,arithmetic,L,24,50,50,61,not-run,,not-run,none,not-run,Missing QASM artifact.,,399,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barenco_tof_3,original,vendored-local,arithmetic,S,5,8,8,8,not-run,,ok,full,ok,,external/circuit-to-tensor/benchmarks/arithmetic/barenco_tof_3/barenco_tof_3.qasm,28,28,0,0.0,12,12,0,0.3684210526315789,0.8536585365853658,0.7446808510638298,0.8536585365853658,0.9210526315789473,21,20,1.4,0.3,0.3,0.45,0.42857142857142855,5,51,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barenco_tof_3,pyzx,vendored-local,arithmetic,S,5,8,8,8,not-run,1.5001518726348877,ok,full,ok,,results/pyzx/barenco_tof_3/optimized.qasm,28,16,12,0.42857142857142855,12,10,2,0.11851851851851852,0.5734767025089605,0.4020100502512563,0.5734767025089605,0.7289293849658315,17,16,1.0,1.1875,1.1875,1.46875,0.625,5,94,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
