batch,target,target_status,family,tensor_size,readiness_status,objectives,time_limit_sec,beam_widths,primary_external_metric,secondary_metrics
article_core,nc_tof_4,ready-new-run,arithmetic,11,ready-full-action,"factor_count,factor_count_pair_cap,mixed_pair,frontier_pair",900,"4,16,32",paper_primary_nc_depth_ratio,"tcount,qasm_depth_ratio,paper_zx_best_nonclifford_depth"
article_core,barenco_tof_4,ready-new-run,arithmetic,14,ready-full-action,"factor_count,factor_count_pair_cap,mixed_pair,frontier_pair",900,"4,16,32",paper_primary_nc_depth_ratio,"tcount,qasm_depth_ratio,paper_zx_best_nonclifford_depth"
article_core,vbe_adder_3,ready-new-run,arithmetic,14,ready-full-action,"factor_count,factor_count_pair_cap,mixed_pair,frontier_pair",900,"4,16,32",paper_primary_nc_depth_ratio,"tcount,qasm_depth_ratio,paper_zx_best_nonclifford_depth"
article_core,gf_2pow2_mult,ready-control-refresh,arithmetic,6,current-grid-control,"factor_count,factor_count_pair_cap,mixed_pair,frontier_pair",900,"4,16,32",paper_primary_nc_depth_ratio,"tcount,qasm_depth_ratio,paper_zx_best_nonclifford_depth"
article_core,mod_5_4,ready-control-refresh,arithmetic,5,current-grid-control,"factor_count,factor_count_pair_cap,mixed_pair,frontier_pair",900,"4,16,32",paper_primary_nc_depth_ratio,"tcount,qasm_depth_ratio,paper_zx_best_nonclifford_depth"
article_core,hamming_weight_n4,ready-control-refresh,applications,9,current-grid-control,"factor_count,factor_count_pair_cap,mixed_pair,frontier_pair",900,"4,16,32",paper_primary_nc_depth_ratio,"tcount,qasm_depth_ratio,paper_zx_best_nonclifford_depth"
article_core,hamming_weight_n5,ready-control-refresh,applications,10,current-grid-control,"factor_count,factor_count_pair_cap,mixed_pair,frontier_pair",900,"4,16,32",paper_primary_nc_depth_ratio,"tcount,qasm_depth_ratio,paper_zx_best_nonclifford_depth"
article_extended,mod_mult_55,pre-screen-required,arithmetic,11,needs-tensor-v3-screen,"factor_count,factor_count_pair_cap,mixed_pair,frontier_pair",1800,"4,16,32",paper_primary_nc_depth_ratio,"tcount,qasm_depth_ratio,paper_zx_best_nonclifford_depth"
article_extended,cuccaro_adder_n4,pre-screen-required,applications,12,needs-tensor-v3-screen,"factor_count,factor_count_pair_cap,mixed_pair,frontier_pair",1800,"4,16,32",paper_primary_nc_depth_ratio,"tcount,qasm_depth_ratio,paper_zx_best_nonclifford_depth"
article_extended,gf_2pow4_mult,pre-screen-required,arithmetic,12,needs-tensor-v3-screen,"factor_count,factor_count_pair_cap,mixed_pair,frontier_pair",1800,"4,16,32",paper_primary_nc_depth_ratio,"tcount,qasm_depth_ratio,paper_zx_best_nonclifford_depth"
article_extended,hamming_weight_n6,pre-screen-required,applications,12,needs-tensor-v3-screen,"factor_count,factor_count_pair_cap,mixed_pair,frontier_pair",1800,"4,16,32",paper_primary_nc_depth_ratio,"tcount,qasm_depth_ratio,paper_zx_best_nonclifford_depth"
article_extended,hamming_weight_n7,pre-screen-required,applications,13,needs-tensor-v3-screen,"factor_count,factor_count_pair_cap,mixed_pair,frontier_pair",1800,"4,16,32",paper_primary_nc_depth_ratio,"tcount,qasm_depth_ratio,paper_zx_best_nonclifford_depth"
article_extended,nc_tof_5,pre-screen-required,arithmetic,15,needs-tensor-v3-screen,"factor_count,factor_count_pair_cap,mixed_pair,frontier_pair",1800,"4,16,32",paper_primary_nc_depth_ratio,"tcount,qasm_depth_ratio,paper_zx_best_nonclifford_depth"
article_extended,gf_2pow5_mult,pre-screen-required,arithmetic,15,needs-tensor-v3-screen,"factor_count,factor_count_pair_cap,mixed_pair,frontier_pair",1800,"4,16,32",paper_primary_nc_depth_ratio,"tcount,qasm_depth_ratio,paper_zx_best_nonclifford_depth"
article_extended,cuccaro_adder_n5,pre-screen-required,applications,16,needs-tensor-v3-screen,"factor_count,factor_count_pair_cap,mixed_pair,frontier_pair",1800,"4,16,32",paper_primary_nc_depth_ratio,"tcount,qasm_depth_ratio,paper_zx_best_nonclifford_depth"
