target,objective_variant,span_objective,pair_cap_enabled,candidate_kind,factor_count,factor_unique_parity_count,factor_parity_reuse_ratio,factor_parity_concentration_index,factor_qubit_concentration_index,factor_support_weight_mean,factor_pairwise_support_overlap_mean,factor_pairwise_jaccard_mean,tcount,tdepth,qasm_depth,primary_nc_depth_ratio,qasm_depth_ratio,structural_cost,structural_target_status,summary_path
mod_5_4,factor_count,factor-count,False,milp_span_factor_count_decomp,7,7,0.0,0.14285714285714285,0.2,2.857142857142857,1.4285714285714286,0.3333333333333333,7.0,3.0,40.0,0.2033898305084746,0.6779661016949152,0.6440677966101694,ok,/Users/caio/Deep-Learning/project/results/alphaq_decomposition_objective_ablation/mod_5_4/factor_count/shared-parity/summary.json
mod_5_4,factor_count_pair_cap,factor-count,True,milp_span_factor_count_pair_cap_decomp,7,7,0.0,0.14285714285714285,0.2,2.857142857142857,1.4285714285714286,0.3333333333333333,7.0,3.0,40.0,0.2033898305084746,0.6779661016949152,0.6440677966101694,ok,/Users/caio/Deep-Learning/project/results/alphaq_decomposition_objective_ablation/mod_5_4/factor_count_pair_cap/shared-parity/summary.json
mod_5_4,mixed_pair,mixed-pair,True,milp_span_mixed_pair_decomp,7,7,0.0,0.14285714285714285,0.2,2.857142857142857,1.4285714285714286,0.3333333333333333,7.0,3.0,40.0,0.2033898305084746,0.6779661016949152,0.6440677966101694,ok,/Users/caio/Deep-Learning/project/results/alphaq_decomposition_objective_ablation/mod_5_4/mixed_pair/shared-parity/summary.json
gf_2pow2_mult,factor_count,factor-count,False,milp_span_factor_count_decomp,17,17,0.0,0.058823529411764705,0.16824196597353497,2.7058823529411766,1.1397058823529411,0.26985294117647063,17.0,5.0,131.0,1.0909090909090908,3.119047619047619,1.3333333333333333,ok,/Users/caio/Deep-Learning/project/results/alphaq_decomposition_objective_ablation/gf_2pow2_mult/factor_count/shared-parity/summary.json
gf_2pow2_mult,factor_count_pair_cap,factor-count,True,milp_span_factor_count_pair_cap_decomp,17,17,0.0,0.058823529411764705,0.17355371900826447,2.588235294117647,1.0735294117647058,0.26164215686274506,17.0,6.0,109.0,0.7727272727272727,2.5952380952380953,0.8333333333333334,ok,/Users/caio/Deep-Learning/project/results/alphaq_decomposition_objective_ablation/gf_2pow2_mult/factor_count_pair_cap/shared-parity/summary.json
gf_2pow2_mult,mixed_pair,mixed-pair,True,milp_span_mixed_pair_decomp,17,17,0.0,0.058823529411764705,0.17,2.3529411764705883,0.8529411764705882,0.2318627450980392,17.0,5.0,110.0,0.8409090909090909,2.619047619047619,0.9523809523809523,ok,/Users/caio/Deep-Learning/project/results/alphaq_decomposition_objective_ablation/gf_2pow2_mult/mixed_pair/shared-parity/summary.json
hamming_weight_n4,factor_count,factor-count,False,milp_span_factor_count_decomp,23,23,0.0,0.043478260869565216,0.11966701352757544,2.6956521739130435,0.7865612648221344,0.17192734801430454,23.0,4.0,200.0,1.162162162162162,5.882352941176471,6.69327731092437,ok,/Users/caio/Deep-Learning/project/results/alphaq_decomposition_objective_ablation/hamming_weight_n4/factor_count/shared-parity/summary.json
hamming_weight_n4,factor_count_pair_cap,factor-count,True,milp_span_factor_count_pair_cap_decomp,21,21,0.0,0.047619047619047616,0.13314967860422405,3.142857142857143,1.223809523809524,0.2593424036281179,21.0,3.0,189.0,1.2162162162162162,5.5588235294117645,6.73109243697479,ok,/Users/caio/Deep-Learning/project/results/alphaq_decomposition_objective_ablation/hamming_weight_n4/factor_count_pair_cap/shared-parity/summary.json
hamming_weight_n4,mixed_pair,mixed-pair,True,milp_span_mixed_pair_decomp,20,20,0.0,0.05,0.13010204081632654,2.8,0.9263157894736842,0.21748120300751878,20.0,3.0,182.0,0.972972972972973,5.352941176470588,6.352941176470588,ok,/Users/caio/Deep-Learning/project/results/alphaq_decomposition_objective_ablation/hamming_weight_n4/mixed_pair/shared-parity/summary.json
hamming_weight_n5,factor_count,factor-count,False,milp_span_factor_count_decomp,20,20,0.0,0.05,0.11777777777777777,3.0,0.9578947368421052,0.20553884711779452,20.0,9.0,227.0,1.3658536585365855,5.973684210526316,6.907894736842105,ok,/Users/caio/Deep-Learning/project/results/alphaq_decomposition_objective_ablation/hamming_weight_n5/factor_count/shared-parity/summary.json
hamming_weight_n5,factor_count_pair_cap,factor-count,True,milp_span_factor_count_pair_cap_decomp,19,19,0.0,0.05263157894736842,0.11777777777777777,3.1578947368421053,1.064327485380117,0.21631161236424393,19.0,6.0,207.0,1.1951219512195121,5.447368421052632,6.282894736842105,ok,/Users/caio/Deep-Learning/project/results/alphaq_decomposition_objective_ablation/hamming_weight_n5/factor_count_pair_cap/shared-parity/summary.json
hamming_weight_n5,mixed_pair,mixed-pair,True,milp_span_mixed_pair_decomp,20,20,0.0,0.05,0.11777777777777777,3.0,0.9578947368421052,0.20553884711779447,20.0,8.0,198.0,0.8536585365853658,5.2105263157894735,6.019736842105263,ok,/Users/caio/Deep-Learning/project/results/alphaq_decomposition_objective_ablation/hamming_weight_n5/mixed_pair/shared-parity/summary.json
