target,objective_variant,best_run,best_status,best_tcount,best_beam_qasm_depth,best_beam_tdepth,best_beam_materializer,completed_runs,failed_runs,missing_runs
barenco_tof_4,factor_count,article_repair2_barenco,ok,64.0,298.0,7.0,selected-beam-shared-parity-w32,"night_long,article_repair2_barenco","standard,article_core","article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
barenco_tof_4,factor_count_pair_cap,journal_repair_paircap,ok,61.0,286.0,7.0,selected-beam-shared-parity-w16,journal_repair_paircap,"standard,night_long,article_core,article_repair2_barenco","article_extended,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
barenco_tof_4,frontier_pair,article_core,ok,64.0,298.0,7.0,selected-beam-shared-parity-w32,article_core,article_repair2_barenco,"standard,night_long,article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
barenco_tof_4,mixed_pair,article_repair2_barenco,ok,42.0,266.0,6.0,selected-beam-shared-parity-w16,"night_long,article_repair2_barenco","standard,article_core","article_extended,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
cuccaro_adder_n4,factor_count,journal_full_cuccaro_adder_n4,ok,23.0,241.0,4.0,selected-beam-shared-parity-w32,"article_extended,journal_full_cuccaro_adder_n4",,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
cuccaro_adder_n4,factor_count_pair_cap,journal_full_cuccaro_adder_n4,ok,23.0,251.0,6.0,selected-beam-shared-parity-w32,"article_extended,journal_full_cuccaro_adder_n4",,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
cuccaro_adder_n4,frontier_pair,article_extended,ok,43.0,257.0,5.0,selected-beam-shared-parity-w32,article_extended,,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
cuccaro_adder_n4,mixed_pair,article_extended,ok,32.0,251.0,6.0,selected-beam-shared-parity-w32,"article_extended,journal_full_cuccaro_adder_n4",,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,journal_full_cuccaro_adder_n5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
cuccaro_adder_n5,factor_count,journal_full_cuccaro_adder_n5,ok,590.0,806.0,51.0,selected-beam-shared-parity-w32,journal_full_cuccaro_adder_n5,article_extended,"standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
cuccaro_adder_n5,factor_count_pair_cap,article_extended,failed,,,,,,"article_extended,journal_full_cuccaro_adder_n5","standard,night_long,article_core,journal_repair_paircap,journal_full_mod_mult_55,journal_full_cuccaro_adder_n4,journal_full_gf_2pow4_mult,journal_full_hamming_weight_n6,journal_full_hamming_weight_n7,journal_full_gf_2pow5_mult,journal_full_nc_tof_5,article_repair2_barenco,article_repair2_vbe,journal_full_nc_tof_5_long,journal_full_gf_2pow5_mult_long"
