target,objective_variant,materializer,beam_width,synthesis,factor_order,target_strategy,tcount,tdepth,qasm_depth,num_total_cnots,primary_nc_depth_ratio,qasm_depth_ratio,structural_cost,candidate_dir,summary_path
mod_5_4,factor_count,selected-shared-parity,,shared_parity_network,greedy-cnot,max-change,7.0,3.0,40.0,14.0,0.2033898305084746,0.6779661016949152,0.6440677966101694,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/factor_count/selected-shared-parity,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/factor_count/selected-shared-parity/summary.json
mod_5_4,factor_count,selected-beam-shared-parity-w4,4,beam_shared_parity_network,greedy-cnot,max-change,7.0,3.0,37.0,14.0,0.1864406779661017,0.6271186440677966,0.5932203389830508,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/factor_count/selected-beam-shared-parity-w4,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/factor_count/selected-beam-shared-parity-w4/summary.json
mod_5_4,factor_count,selected-beam-shared-parity-w16,16,beam_shared_parity_network,greedy-cnot,max-change,7.0,3.0,37.0,14.0,0.1864406779661017,0.6271186440677966,0.5932203389830508,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/factor_count/selected-beam-shared-parity-w16,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/factor_count/selected-beam-shared-parity-w16/summary.json
mod_5_4,factor_count_pair_cap,selected-shared-parity,,shared_parity_network,greedy-cnot,max-change,7.0,3.0,40.0,14.0,0.2033898305084746,0.6779661016949152,0.6440677966101694,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/factor_count_pair_cap/selected-shared-parity,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/factor_count_pair_cap/selected-shared-parity/summary.json
mod_5_4,factor_count_pair_cap,selected-beam-shared-parity-w4,4,beam_shared_parity_network,greedy-cnot,max-change,7.0,3.0,37.0,14.0,0.1864406779661017,0.6271186440677966,0.5932203389830508,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/factor_count_pair_cap/selected-beam-shared-parity-w4,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/factor_count_pair_cap/selected-beam-shared-parity-w4/summary.json
mod_5_4,factor_count_pair_cap,selected-beam-shared-parity-w16,16,beam_shared_parity_network,greedy-cnot,max-change,7.0,3.0,37.0,14.0,0.1864406779661017,0.6271186440677966,0.5932203389830508,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/factor_count_pair_cap/selected-beam-shared-parity-w16,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json
mod_5_4,mixed_pair,selected-shared-parity,,shared_parity_network,greedy-cnot,max-change,7.0,3.0,40.0,14.0,0.2033898305084746,0.6779661016949152,0.6440677966101694,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/mixed_pair/selected-shared-parity,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/mixed_pair/selected-shared-parity/summary.json
mod_5_4,mixed_pair,selected-beam-shared-parity-w4,4,beam_shared_parity_network,greedy-cnot,max-change,7.0,3.0,37.0,14.0,0.1864406779661017,0.6271186440677966,0.5932203389830508,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/mixed_pair/selected-beam-shared-parity-w4,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/mixed_pair/selected-beam-shared-parity-w4/summary.json
mod_5_4,mixed_pair,selected-beam-shared-parity-w16,16,beam_shared_parity_network,greedy-cnot,max-change,7.0,3.0,37.0,14.0,0.1864406779661017,0.6271186440677966,0.5932203389830508,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/mixed_pair/selected-beam-shared-parity-w16,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/mod_5_4/mixed_pair/selected-beam-shared-parity-w16/summary.json
gf_2pow2_mult,factor_count,selected-shared-parity,,shared_parity_network,greedy-cnot,max-change,17.0,5.0,131.0,46.0,1.0909090909090908,3.119047619047619,1.3333333333333333,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow2_mult/factor_count/selected-shared-parity,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow2_mult/factor_count/selected-shared-parity/summary.json
gf_2pow2_mult,factor_count,selected-beam-shared-parity-w4,4,beam_shared_parity_network,greedy-cnot,max-change,17.0,4.0,109.0,42.0,0.8636363636363636,2.5952380952380953,0.8095238095238095,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow2_mult/factor_count/selected-beam-shared-parity-w4,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow2_mult/factor_count/selected-beam-shared-parity-w4/summary.json
gf_2pow2_mult,factor_count,selected-beam-shared-parity-w16,16,beam_shared_parity_network,greedy-cnot,max-change,17.0,6.0,107.0,36.0,0.8181818181818182,2.5476190476190474,0.7619047619047619,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow2_mult/factor_count/selected-beam-shared-parity-w16,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow2_mult/factor_count/selected-beam-shared-parity-w16/summary.json
gf_2pow2_mult,factor_count_pair_cap,selected-shared-parity,,shared_parity_network,greedy-cnot,max-change,17.0,6.0,109.0,32.0,0.7727272727272727,2.5952380952380953,0.8333333333333334,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow2_mult/factor_count_pair_cap/selected-shared-parity,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow2_mult/factor_count_pair_cap/selected-shared-parity/summary.json
gf_2pow2_mult,factor_count_pair_cap,selected-beam-shared-parity-w4,4,beam_shared_parity_network,greedy-cnot,max-change,17.0,5.0,106.0,34.0,0.7954545454545454,2.5238095238095237,0.7619047619047619,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow2_mult/factor_count_pair_cap/selected-beam-shared-parity-w4,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow2_mult/factor_count_pair_cap/selected-beam-shared-parity-w4/summary.json
gf_2pow2_mult,factor_count_pair_cap,selected-beam-shared-parity-w16,16,beam_shared_parity_network,greedy-cnot,max-change,17.0,5.0,103.0,32.0,0.7272727272727273,2.4523809523809526,0.6904761904761905,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow2_mult/factor_count_pair_cap/selected-beam-shared-parity-w16,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow2_mult/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json
gf_2pow2_mult,mixed_pair,selected-shared-parity,,shared_parity_network,greedy-cnot,max-change,17.0,5.0,110.0,32.0,0.8409090909090909,2.619047619047619,0.9523809523809523,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow2_mult/mixed_pair/selected-shared-parity,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/gf_2pow2_mult/mixed_pair/selected-shared-parity/summary.json
