source_split,target,family,functional_family,n_qubits,tensor_size,original_tcount,objective_variant,execution_status,has_beam_candidate,factor_count,factor_qubit_concentration_index,factor_support_weight_mean,factor_pairwise_support_overlap_mean,factor_pairwise_jaccard_mean,decomp_tcount,decomp_tdepth,decomp_qasm_depth,decomp_qasm_depth_ratio,decomp_structural_status,optimization_elapsed_sec,materialization_elapsed_sec,objective_elapsed_sec,best_beam_materializer,best_beam_tcount,best_beam_tdepth,best_beam_qasm_depth,best_beam_qasm_depth_ratio,best_beam_primary_nc_depth_ratio,best_beam_cnots,target_objective_count,train_ready,oracle_objective,oracle_selection_status,objective_t_safe,objective_qasm_safe,objective_is_oracle,objective_rank,best_beam_summary_path
internal,barenco_tof_3,arithmetic,toffoli-chain,5,8,28,factor_count,ok,True,13,0.1423611111111111,3.6923076923076925,1.794871794871795,0.3322344322344323,13.0,4.0,196.0,3.843137254901961,ok,,,,selected-beam-shared-parity-w16,13.0,4.0,162.0,3.176470588235294,0.39622641509433965,34.0,3,True,factor_count,constrained,True,True,True,1,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/barenco_tof_3/factor_count/selected-beam-shared-parity-w16/summary.json
internal,barenco_tof_3,arithmetic,toffoli-chain,5,8,28,factor_count_pair_cap,ok,True,13,0.1383219954648526,3.230769230769231,1.294871794871795,0.2731990231990232,13.0,5.0,183.0,3.588235294117647,ok,,,,selected-beam-shared-parity-w16,13.0,4.0,162.0,3.176470588235294,0.4528301886792453,32.0,3,True,factor_count,constrained,True,True,False,2,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/barenco_tof_3/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json
internal,barenco_tof_3,arithmetic,toffoli-chain,5,8,28,mixed_pair,ok,True,23,0.1388888888888889,2.0869565217391304,0.5375494071146245,0.1621870882740448,23.0,5.0,186.0,3.6470588235294117,ok,,,,selected-beam-shared-parity-w16,23.0,5.0,173.0,3.392156862745098,0.6226415094339622,46.0,3,True,factor_count,constrained,False,True,False,,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/barenco_tof_3/mixed_pair/selected-beam-shared-parity-w16/summary.json
internal,barenco_tof_3,arithmetic,toffoli-chain,5,8,28,frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count,constrained,False,False,False,,
internal,barenco_tof_3,arithmetic,toffoli-chain,5,8,28,depth_guarded_mixed_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count,constrained,False,False,False,,
internal,barenco_tof_3,arithmetic,toffoli-chain,5,8,28,t_preserving_frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count,constrained,False,False,False,,
internal,cuccaro_adder_n3,applications,adder,7,8,42,factor_count,ok,True,13,0.1597222222222222,3.6923076923076925,2.051282051282051,0.38308913308913306,13.0,3.0,225.0,3.0821917808219177,ok,,,,selected-beam-shared-parity-w16,13.0,3.0,211.0,2.8904109589041096,0.4935064935064935,30.0,3,True,factor_count_pair_cap,constrained,True,True,False,2,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/factor_count/selected-beam-shared-parity-w16/summary.json
internal,cuccaro_adder_n3,applications,adder,7,8,42,factor_count_pair_cap,ok,True,13,0.15789473684210525,2.923076923076923,1.2179487179487178,0.28382173382173387,13.0,6.0,212.0,2.904109589041096,ok,,,,selected-beam-shared-parity-w16,13.0,4.0,200.0,2.73972602739726,0.4805194805194805,32.0,3,True,factor_count_pair_cap,constrained,True,True,True,1,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json
internal,cuccaro_adder_n3,applications,adder,7,8,42,mixed_pair,ok,True,19,0.17006802721088435,2.210526315789474,0.7543859649122807,0.21812865497076023,19.0,5.0,223.0,3.0547945205479454,ok,,,,selected-beam-shared-parity-w16,19.0,6.0,204.0,2.7945205479452055,0.6233766233766234,38.0,3,True,factor_count_pair_cap,constrained,False,True,False,,/Users/caio/Deep-Learning/project/results/alphaq_objective_beam_policy_grid/cuccaro_adder_n3/mixed_pair/selected-beam-shared-parity-w16/summary.json
internal,cuccaro_adder_n3,applications,adder,7,8,42,frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count_pair_cap,constrained,False,False,False,,
