policy,scope,source_split,target,budget,available_candidates,materialized_objectives,final_objective,final_tcount,final_qasm_depth,oracle_tcount,oracle_qasm_depth,baseline_tcount,baseline_qasm_depth,oracle_t_recovered,tcount_ratio_vs_baseline,qasm_ratio_vs_baseline,tcount_ratio_vs_oracle
top1,groups,external_article_core,gf_2pow2_mult,1,4,frontier_pair,frontier_pair,17.0,98.0,17.0,97.0,17.0,97.0,True,1.0,1.0103092783505154,1.0
top1,groups,external_article_core,hamming_weight_n4,1,4,factor_count_pair_cap,factor_count_pair_cap,19.0,167.0,19.0,164.0,19.0,164.0,True,1.0,1.0182926829268293,1.0
top1,groups,external_article_core,hamming_weight_n5,1,4,factor_count,factor_count,19.0,179.0,19.0,179.0,19.0,179.0,True,1.0,1.0,1.0
top1,groups,external_article_core,mod_5_4,1,4,factor_count,factor_count,7.0,37.0,7.0,37.0,7.0,37.0,True,1.0,1.0,1.0
top1,groups,external_article_core,nc_tof_4,1,4,frontier_pair,frontier_pair,32.0,245.0,32.0,245.0,37.0,252.0,True,0.8648648648648649,0.9722222222222222,1.0
top1,groups,external_article_core,vbe_adder_3,1,3,factor_count,factor_count,65.0,296.0,65.0,296.0,65.0,296.0,True,1.0,1.0,1.0
top1,groups,external_article_extended,cuccaro_adder_n4,1,4,factor_count_pair_cap,factor_count_pair_cap,24.0,254.0,24.0,254.0,32.0,258.0,True,0.75,0.9844961240310077,1.0
top1,groups,external_article_extended,gf_2pow4_mult,1,4,factor_count_pair_cap,factor_count_pair_cap,56.0,462.0,56.0,462.0,58.0,461.0,True,0.9655172413793104,1.002169197396963,1.0
top1,groups,external_article_extended,hamming_weight_n6,1,4,frontier_pair,frontier_pair,25.0,172.0,25.0,168.0,25.0,172.0,True,1.0,1.0,1.0
top1,groups,external_article_extended,hamming_weight_n7,1,4,frontier_pair,frontier_pair,28.0,193.0,28.0,193.0,34.0,214.0,True,0.8235294117647058,0.9018691588785047,1.0
top1,groups,external_article_extended,mod_mult_55,1,4,mixed_pair,mixed_pair,18.0,252.0,18.0,252.0,20.0,257.0,True,0.9,0.980544747081712,1.0
top1,groups,external_journal_full_cuccaro_adder_n4,cuccaro_adder_n4,1,3,factor_count,factor_count,23.0,241.0,23.0,241.0,23.0,241.0,True,1.0,1.0,1.0
