policy,scope,budget,groups,oracle_t_recovered,tcount_wins_vs_baseline,tcount_losses_vs_baseline,sign_test_p_one_sided,median_tcount_ratio_vs_baseline,median_tcount_ci_low,median_tcount_ci_high,qasm_wins_vs_baseline,qasm_losses_vs_baseline,median_qasm_ratio_vs_baseline,mean_log_tcount_ratio,random_mean_oracle_t_recovered,permutation_p_value
top1,groups,1,29,29,10,0,0.000976562,1,0.965517,1,11,5,1,0.950433,15.547,0
top2,groups,2,29,29,10,0,0.000976562,1,0.965517,1,13,4,1,0.950433,23.686,0.0025
top3,groups,3,29,29,10,0,0.000976562,1,0.965517,1,13,4,1,0.950433,,
top4,groups,4,29,29,10,0,0.000976562,1,0.965517,1,13,3,1,0.950433,,
guarded_top1,groups,1,29,19,0,0,,1,1,1,0,0,1,1,19.000,1
guarded_top2,groups,2,29,29,10,0,0.000976562,1,0.965517,1,12,3,1,0.950433,24.019,0.001
guarded_top3,groups,3,29,29,10,0,0.000976562,1,0.965517,1,13,3,1,0.950433,,
guarded_top4,groups,4,29,29,10,0,0.000976562,1,0.965517,1,13,3,1,0.950433,,
oracle_full_portfolio,groups,4,29,29,10,0,0.000976562,1,0.965517,1,13,3,1,0.950433,,
top1,targets,1,16,16,7,0,0.0078125,1,0.9,1,6,4,1,0.924992,8.694,0
top2,targets,2,16,16,7,0,0.0078125,1,0.9,1,7,3,1,0.924992,12.970,0.019
top3,targets,3,16,16,7,0,0.0078125,1,0.9,1,8,3,0.992248,0.924992,,
top4,targets,4,16,16,7,0,0.0078125,1,0.9,1,8,2,0.992248,0.924992,,
guarded_top1,targets,1,16,9,0,0,,1,1,1,0,0,1,1,9.000,1
guarded_top2,targets,2,16,16,7,0,0.0078125,1,0.9,1,7,2,1,0.924992,12.489,0.005
guarded_top3,targets,3,16,16,7,0,0.0078125,1,0.9,1,8,2,0.992248,0.924992,,
guarded_top4,targets,4,16,16,7,0,0.0078125,1,0.9,1,8,2,0.992248,0.924992,,
oracle_full_portfolio,targets,4,16,16,7,0,0.0078125,1,0.9,1,8,2,0.992248,0.924992,,
