policy,policy_type,fold_target,source_split,target,selection_status,selected_objective,fixed_objective,oracle_objective,exact_oracle_match,weights,selected_tcount,selected_primary_nc_depth_ratio,selected_qasm_depth,baseline_tcount,baseline_primary_nc_depth_ratio,baseline_qasm_depth,oracle_tcount,oracle_primary_nc_depth_ratio,oracle_qasm_depth,tcount_ratio_vs_baseline,primary_ratio_vs_baseline,qasm_ratio_vs_baseline,tcount_ratio_vs_oracle,qasm_ratio_vs_oracle
baseline_factor_count,baseline,barenco_tof_3,internal,barenco_tof_3,ok,factor_count,,factor_count,True,,13.0,0.39622641509433965,162.0,13.0,0.39622641509433965,162.0,13.0,0.39622641509433965,162.0,1.0,1.0,1.0,1.0,1.0
best_fixed_loto,fixed-objective,barenco_tof_3,internal,barenco_tof_3,ok,factor_count,factor_count,factor_count,True,,13.0,0.39622641509433965,162.0,13.0,0.39622641509433965,162.0,13.0,0.39622641509433965,162.0,1.0,1.0,1.0,1.0,1.0
oracle_posthoc,oracle,barenco_tof_3,internal,barenco_tof_3,ok,factor_count,,factor_count,True,,13.0,0.39622641509433965,162.0,13.0,0.39622641509433965,162.0,13.0,0.39622641509433965,162.0,1.0,1.0,1.0,1.0,1.0
split_select_linear_alphaq,alphaq-factor,barenco_tof_3,internal,barenco_tof_3,ok,factor_count_pair_cap,,factor_count,False,"factor_count:2,factor_pairwise_support_overlap_mean:1",13.0,0.4528301886792453,162.0,13.0,0.39622641509433965,162.0,13.0,0.39622641509433965,162.0,1.0,1.1428571428571428,1.0,1.0,1.0
split_select_linear_alphaq_decomp,alphaq-decomp,barenco_tof_3,internal,barenco_tof_3,ok,factor_count_pair_cap,,factor_count,False,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",13.0,0.4528301886792453,162.0,13.0,0.39622641509433965,162.0,13.0,0.39622641509433965,162.0,1.0,1.1428571428571428,1.0,1.0,1.0
split_select_linear_alphaq_qasm,alphaq-qasm,barenco_tof_3,internal,barenco_tof_3,ok,factor_count_pair_cap,,factor_count,False,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",13.0,0.4528301886792453,162.0,13.0,0.39622641509433965,162.0,13.0,0.39622641509433965,162.0,1.0,1.1428571428571428,1.0,1.0,1.0
baseline_factor_count,baseline,barenco_tof_3,external_journal_k6_backfill,barenco_tof_3,ok,factor_count,,t_preserving_frontier_pair,False,,13.0,0.4528301886792453,183.0,13.0,0.4528301886792453,183.0,13.0,0.37735849056603776,161.0,1.0,1.0,1.0,1.0,1.1366459627329193
best_fixed_loto,fixed-objective,barenco_tof_3,external_journal_k6_backfill,barenco_tof_3,ok,factor_count,factor_count,t_preserving_frontier_pair,False,,13.0,0.4528301886792453,183.0,13.0,0.4528301886792453,183.0,13.0,0.37735849056603776,161.0,1.0,1.0,1.0,1.0,1.1366459627329193
oracle_posthoc,oracle,barenco_tof_3,external_journal_k6_backfill,barenco_tof_3,ok,t_preserving_frontier_pair,,t_preserving_frontier_pair,True,,13.0,0.37735849056603776,161.0,13.0,0.4528301886792453,183.0,13.0,0.37735849056603776,161.0,1.0,0.8333333333333334,0.8797814207650273,1.0,1.0
split_select_linear_alphaq,alphaq-factor,barenco_tof_3,external_journal_k6_backfill,barenco_tof_3,ok,t_preserving_frontier_pair,,t_preserving_frontier_pair,True,"factor_count:2,factor_pairwise_support_overlap_mean:1",13.0,0.37735849056603776,161.0,13.0,0.4528301886792453,183.0,13.0,0.37735849056603776,161.0,1.0,0.8333333333333334,0.8797814207650273,1.0,1.0
split_select_linear_alphaq_decomp,alphaq-decomp,barenco_tof_3,external_journal_k6_backfill,barenco_tof_3,ok,t_preserving_frontier_pair,,t_preserving_frontier_pair,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",13.0,0.37735849056603776,161.0,13.0,0.4528301886792453,183.0,13.0,0.37735849056603776,161.0,1.0,0.8333333333333334,0.8797814207650273,1.0,1.0
