target,source_split,final_objective,tcount_ratio_vs_baseline,outcome_vs_baseline,selected_verification_status,baseline_verification_status,selected_proven,win_on_proven_candidate
barenco_tof_3,internal,factor_count,1.0,tie,unverified,unverified,False,False
cuccaro_adder_n3,internal,factor_count_pair_cap,1.0,tie,unverified,unverified,False,False
gf_2pow2_mult,external_article_core,factor_count,1.0,tie,equal,equal,True,False
hamming_weight_n4,external_article_core,factor_count,1.0,tie,equal,equal,True,False
hamming_weight_n5,external_article_core,factor_count,1.0,tie,equal,equal,True,False
hamming_weight_n6,external_article_extended,frontier_pair,1.0,tie,equal,equal,True,False
mod_5_4,external_article_core,factor_count,1.0,tie,equal,equal,True,False
nc_tof_3,internal,factor_count_pair_cap,1.0,tie,unverified,unverified,False,False
vbe_adder_3,external_night_long,factor_count,1.0,tie,nonclifford-correction,nonclifford-correction,False,False
barenco_tof_4,external_night_long,mixed_pair,0.65625,win,unverified,unverified,False,False
cuccaro_adder_n4,external_article_extended,factor_count_pair_cap,0.75,win,not-equal,not-equal,False,False
gf_2pow3_mult,internal,factor_count_pair_cap,0.9428571428571428,win,unverified,unverified,False,False
gf_2pow4_mult,external_article_extended,factor_count_pair_cap,0.9655172413793104,win,not-equal,not-equal,False,False
hamming_weight_n7,external_article_extended,frontier_pair,0.8235294117647058,win,equal,equal,True,True
mod_mult_55,external_article_extended,mixed_pair,0.9,win,equal-numeric,equal,True,True
nc_tof_4,external_article_core,frontier_pair,0.8648648648648649,win,nonclifford-correction,nonclifford-correction,False,False
