circuit_id,method,method_label,source_method,source,family,faixa,n_qubits,method_status,verify_status,qasm_artifact_path,tcount_before,tcount_after,delta_t,rel_gain_t,tdepth_before,tdepth_after,delta_tdepth,depth_after,gate_count_after,rho_t,rho_w,n_clifford_blocks,n_nonclifford_blocks,avg_nonclifford_block_len,hadamard_boundary_density,scheduled_layers,active_t_qubits,t_qubit_fraction,t_locality_span_qubits,t_locality_span_fraction,first_t_layer,last_t_layer,nonclifford_core_layers,nonclifford_core_area,nonclifford_core_density,clifford_prefix_ratio,clifford_suffix_ratio,heuristic_splitting_score,locality_status,locality_error,formal_verification_status,formal_verification_error,formal_proof_path
mod_5_4,original,Original,original,vendored-local,arithmetic,S,5,ok,not-run,external/circuit-to-tensor/benchmarks/arithmetic/mod_5_4/mod_5_4.qasm,28,28,0,0.0,16,16,0,59,79,0.35443037974683544,0.8459214501510574,21,20,1.4,0.3,59,5,1.0,5,1.0,5,54,50,250,0.112,0.0847457627118644,0.06779661016949153,0.03934915254237288,ok,,not-applicable,,
mod_5_4,pyzx,PyZX,pyzx,vendored-local,arithmetic,S,5,ok,not-run,results/pyzx/mod_5_4/optimized.qasm,28,8,20,0.7142857142857143,16,2,14,45,103,0.07766990291262135,0.45714285714285713,9,8,1.0,1.125,45,4,0.8,5,1.0,9,39,31,155,0.05161290322580645,0.2,0.1111111111111111,0.12032258064516127,ok,,equal,,results/verification/entrega1/proofs/mod_5_4/pyzx.verify.txt
mod_5_4,alphatensor_public,AlphaTensor-public,public_resynth_no_gadgets,vendored-local,arithmetic,S,5,ok,not-run,results/public_resynth/public_resynth_no_gadgets/mod_5_4/assembled.qasm,28,7,21,0.75,16,4,12,57,71,0.09859154929577464,0.5223880597014925,8,7,1.0,0.07142857142857142,57,3,0.6,5,1.0,4,30,27,135,0.05185185185185185,0.07017543859649122,0.45614035087719296,0.24159844054580895,ok,,equal,,results/verification/entrega1/proofs/mod_5_4/public_resynth_no_gadgets.verify.txt
gf_2pow2_mult,original,Original,original,vendored-local,arithmetic,S,6,ok,not-run,external/circuit-to-tensor/benchmarks/arithmetic/gf_2pow2_mult/gf_2pow2_mult.qasm,28,28,0,0.0,8,8,0,42,61,0.45901639344262296,0.8945686900958466,21,20,1.4,0.2,42,6,1.0,6,1.0,2,40,39,234,0.11965811965811966,0.047619047619047616,0.023809523809523808,0.03345543345543346,ok,,not-applicable,,
gf_2pow2_mult,pyzx,PyZX,pyzx,vendored-local,arithmetic,S,6,ok,not-run,results/pyzx/gf_2pow2_mult/optimized.qasm,28,18,10,0.35714285714285715,8,4,4,111,242,0.0743801652892562,0.44554455445544555,19,18,1.0,1.3055555555555556,111,6,1.0,6,1.0,18,102,85,510,0.03529411764705882,0.16216216216216217,0.07207207207207207,0.0394912559618442,ok,,equal,,results/verification/entrega1/proofs/gf_2pow2_mult/pyzx.verify.txt
gf_2pow2_mult,alphatensor_public,AlphaTensor-public,public_resynth_no_gadgets,vendored-local,arithmetic,S,6,ok,not-run,results/public_resynth/public_resynth_no_gadgets/gf_2pow2_mult/assembled.qasm,28,17,11,0.39285714285714285,8,6,2,161,212,0.08018867924528301,0.4657534246575342,18,17,1.0,0.0,161,5,0.8333333333333334,5,0.8333333333333334,13,85,73,365,0.04657534246575343,0.08074534161490683,0.4658385093167702,0.2024827703565047,ok,,equal,,results/verification/entrega1/proofs/gf_2pow2_mult/public_resynth_no_gadgets.verify.txt
cuccaro_adder_n3,original,Original,original,vendored-local,applications,S,7,ok,not-run,external/circuit-to-tensor/benchmarks/applications/cuccaro_adder_n3/cuccaro_adder_n3.qasm,42,42,0,0.0,10,10,0,73,102,0.4117647058823529,0.875,31,30,1.4,0.2,73,7,1.0,7,1.0,4,69,66,462,0.09090909090909091,0.0547945205479452,0.0410958904109589,0.029140722291407226,ok,,not-applicable,,
cuccaro_adder_n3,pyzx,PyZX,pyzx,vendored-local,applications,S,7,ok,not-run,results/pyzx/cuccaro_adder_n3/optimized.qasm,42,16,26,0.6190476190476191,10,6,4,110,204,0.0784313725490196,0.45977011494252873,17,16,1.0,1.28125,110,6,0.8571428571428571,6,0.8571428571428571,24,102,79,474,0.03375527426160337,0.21818181818181817,0.06363636363636363,0.13610170420297008,ok,,equal,,results/verification/entrega1/proofs/cuccaro_adder_n3/pyzx.verify.txt
cuccaro_adder_n3,alphatensor_public,AlphaTensor-public,public_resynth_gadgets,vendored-local,applications,S,7,ok,not-run,results/public_resynth/public_resynth_gadgets/cuccaro_adder_n3/assembled.qasm,42,14,28,0.6666666666666666,10,4,6,242,304,0.046052631578947366,0.32558139534883723,11,10,1.4,0.3,242,5,0.625,5,0.625,28,65,38,190,0.07368421052631578,0.11570247933884298,0.7272727272727273,0.38519138755980864,ok,,inconclusive,"Inconclusive (took 0.011s)
Reduced form: 
Σ[y₀⋯y₂](-1)^{y₀ + y₀01 + y₀02 + y₀1 + y₀12 + y₀2 + y₀3 + y₁ + y₁y₂ + y₁3 + y₁6 + y₂ + y₂5 + y₂6 + 3 + 35 + 36 + 5 + 56 + 6}|0⟩|1⟩|2⟩|1 + y₂⟩|1 + y₂ + 3 + 4⟩|1 + y₁⟩|y₀⟩",results/verification/entrega1/proofs/cuccaro_adder_n3/public_resynth_gadgets.verify.txt
qft_4,original,Original,original,vendored-local,arithmetic,L,5,ok,not-run,external/circuit-to-tensor/benchmarks/arithmetic/qft_4/qft_4.qasm,69,69,0,0.0,40,40,0,152,187,0.3689839572192513,0.8539603960396039,57,56,1.2321428571428572,0.38392857142857145,152,5,1.0,5,1.0,2,151,150,750,0.092,0.013157894736842105,0.0,0.021031578947368422,ok,,not-applicable,,
