circuit_id,method,method_label,source_method,source,family,faixa,n_qubits,method_status,verify_status,qasm_artifact_path,tcount_before,tcount_after,delta_t,rel_gain_t,tdepth_before,tdepth_after,delta_tdepth,depth_after,gate_count_after,rho_t,rho_w,n_clifford_blocks,n_nonclifford_blocks,avg_nonclifford_block_len,hadamard_boundary_density,selection_objective,tensor_v3_selection_status,tensor_v3_selection_error,tensor_v3_ranking_strategy,tensor_v3_profile,tensor_v3_mixed_slack,structural_cost,predicted_structural_cost,prediction_std,prediction_tolerance,alphaq_target_status,alphaq_nc_core_area_ratio,alphaq_dependency_core_area_ratio,alphaq_nc_core_depth_ratio,alphaq_nc_core_width_ratio,alphaq_dependency_core_depth_ratio,alphaq_dependency_core_width_ratio,alphaq_total_depth_ratio,alphaq_total_area_ratio,alphaq_crossing_closure_count,alphaq_nc_core_depth,alphaq_nc_core_width,alphaq_nc_core_area,alphaq_dependency_core_depth,alphaq_dependency_core_width,alphaq_dependency_core_area,alphaq_dependency_boundary_edge_count,alphaq_dependency_component_count,alphaq_dependency_chain_depth,tensor_v3_status,tensor_v3_partition_id,tensor_v3_partition_kind,tensor_v3_tcount_tolerance,tensor_v3_mixed_excess_norm,tensor_v3_mixed_auc_greedy_norm,tensor_v3_singleton_bridge_count_norm,tensor_v3_score_lex,scheduled_layers,active_t_qubits,t_qubit_fraction,t_locality_span_qubits,t_locality_span_fraction,first_t_layer,last_t_layer,nonclifford_core_layers,nonclifford_core_area,nonclifford_core_density,clifford_prefix_ratio,clifford_suffix_ratio,heuristic_splitting_score,locality_status,locality_error,zx_split_status,zx_split_error,zx_total_depth,zx_num_qubits,zx_num_nonclifford_spiders,zx_num_cross_edges,zx_left_clifford_depth,zx_left_nonclifford_depth,zx_left_clifford_fraction,zx_left_nonclifford_fraction,zx_left_core_qubits,zx_left_closure_iters,zx_left_border_min_row,zx_left_border_max_row,zx_right_clifford_depth,zx_right_nonclifford_depth,zx_right_clifford_fraction,zx_right_nonclifford_fraction,zx_right_core_qubits,zx_right_closure_iters,zx_right_border_min_row,zx_right_border_max_row,zx_best_side,zx_best_clifford_depth,zx_best_nonclifford_depth,zx_best_clifford_fraction,zx_best_nonclifford_fraction,zx_split_normalization_status,zx_split_normalization_error,structural_target_status,structural_target_error,primary_nc_depth_ratio,primary_nc_depth_delta_vs_original,zx_total_depth_ratio,qasm_depth_ratio,tcount_improves_primary_worsens,clifford_fraction_misleading,zx_depth_inflation,qasm_depth_inflation,formal_verification_status,formal_verification_error,formal_proof_path
gf_2pow2_mult,original,Original,original,vendored-local,arithmetic,S,6,ok,not-run,external/circuit-to-tensor/benchmarks/arithmetic/gf_2pow2_mult/gf_2pow2_mult.qasm,28,28,0,0.0,8,8,0,42,61,0.45901639344262296,0.8945686900958466,21,20,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,6,1.0,6,1.0,2,40,39,234,0.11965811965811966,0.047619047619047616,0.023809523809523808,0.03345543345543346,ok,,ok,,44,6,28,25,2,42,0.045454545454545456,0.9545454545454546,6,1,3,15,4,43,0.09090909090909091,0.9772727272727273,6,0,20,43,right,4,43,0.09090909090909091,0.9772727272727273,ok,,ok,,0.9772727272727273,0.0,1.0,1.0,False,False,False,False,not-applicable,,
gf_2pow2_mult,pyzx,PyZX,pyzx,vendored-local,arithmetic,S,6,ok,not-run,results/pyzx/gf_2pow2_mult/optimized.qasm,28,18,10,0.35714285714285715,8,4,4,111,242,0.0743801652892562,0.44554455445544555,19,18,1.0,1.3055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,6,1.0,6,1.0,18,102,85,510,0.03529411764705882,0.16216216216216217,0.07207207207207207,0.0394912559618442,ok,,ok,,146,6,18,64,30,121,0.2054794520547945,0.8287671232876712,6,1,24,38,17,135,0.11643835616438356,0.9246575342465754,6,1,111,135,left,30,121,0.2054794520547945,0.8287671232876712,ok,,ok,,2.75,1.7727272727272727,3.3181818181818183,2.642857142857143,True,True,True,True,equal,,results/verification/entrega1/proofs/gf_2pow2_mult/pyzx.verify.txt
gf_2pow2_mult,alphatensor_public,AlphaTensor-public,public_resynth_no_gadgets,vendored-local,arithmetic,S,6,ok,not-run,results/public_resynth/public_resynth_no_gadgets/gf_2pow2_mult/assembled.qasm,28,17,11,0.39285714285714285,8,6,2,161,212,0.08018867924528301,0.4657534246575342,18,17,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,5,0.8333333333333334,5,0.8333333333333334,13,85,73,365,0.04657534246575343,0.08074534161490683,0.4658385093167702,0.2024827703565047,ok,,ok,,185,6,17,148,15,170,0.08108108108108109,0.918918918918919,6,1,16,23,94,91,0.5081081081081081,0.4918918918918919,6,2,79,91,right,94,91,0.5081081081081081,0.4918918918918919,ok,,ok,,2.0681818181818183,1.090909090909091,4.204545454545454,3.8333333333333335,True,True,True,True,equal,,results/verification/entrega1/proofs/gf_2pow2_mult/public_resynth_no_gadgets.verify.txt
gf_2pow2_mult,alphaq_tensor_v3,AlphaQ tensor-v3,public_resynth_tensor_v3,vendored-local,arithmetic,S,6,ok,not-run,results/public_resynth_tensor_v3/public_resynth_tensor_v3/gf_2pow2_mult/assembled.qasm,28,17,11,0.39285714285714285,8,12,-4,145,195,0.08717948717948718,0.4885057471264368,18,17,1.0,0.029411764705882353,tensor-v3,ok,,lex-v1,,,1.6904761904761905,,,,ok,1.4523809523809523,1.6904761904761905,1.4523809523809523,1.0,1.6904761904761905,1.0,3.4523809523809526,3.4523809523809526,54,61,6,366,71,6,426,24,1,71,ok,semantic_role_k2,semantic-role,0.1,3.090909090909091,0.23863636363636365,0.35294117647058826,3.09090909091;0.238636363636;0.352941176471;3767bd4f612e7224,145,4,0.6666666666666666,5,0.8333333333333334,11,71,61,305,0.05573770491803279,0.07586206896551724,0.503448275862069,0.2701705294893537,ok,,ok,,167,6,17,134,13,154,0.07784431137724551,0.9221556886227545,6,1,14,26,92,76,0.5508982035928144,0.4550898203592814,6,1,62,76,right,92,76,0.5508982035928144,0.4550898203592814,ok,,ok,,1.7272727272727273,0.75,3.7954545454545454,3.4523809523809526,True,True,True,True,equal,,results/verification/entrega1/proofs/gf_2pow2_mult/public_resynth_tensor_v3.verify.txt
gf_2pow2_mult,alphaq_tensor_v3_phase_slack,AlphaQ tensor-v3 phase-slack,public_resynth_tensor_v3_phase_slack,vendored-local,arithmetic,S,6,ok,not-run,results/public_resynth_tensor_v3_phase_slack/public_resynth_tensor_v3_phase_slack/gf_2pow2_mult/assembled.qasm,28,17,11,0.39285714285714285,8,12,-4,145,195,0.08717948717948718,0.4885057471264368,18,17,1.0,0.029411764705882353,tensor-v3,ok,,phase-slack-v1,conservative,0.2,1.6904761904761905,,,,ok,1.4523809523809523,1.6904761904761905,1.4523809523809523,1.0,1.6904761904761905,1.0,3.4523809523809526,3.4523809523809526,54,61,6,366,71,6,426,24,1,71,ok,semantic_role_k2,semantic-role,0.12,3.090909090909091,0.23863636363636365,0.35294117647058826,3.09090909091;0.238636363636;0.352941176471;3767bd4f612e7224,145,4,0.6666666666666666,5,0.8333333333333334,11,71,61,305,0.05573770491803279,0.07586206896551724,0.503448275862069,0.2701705294893537,ok,,ok,,167,6,17,134,13,154,0.07784431137724551,0.9221556886227545,6,1,14,26,92,76,0.5508982035928144,0.4550898203592814,6,1,62,76,right,92,76,0.5508982035928144,0.4550898203592814,ok,,ok,,1.7272727272727273,0.75,3.7954545454545454,3.4523809523809526,True,True,True,True,equal,,results/verification/entrega1/proofs/gf_2pow2_mult/public_resynth_tensor_v3_phase_slack.verify.txt
gf_2pow2_mult,alphaq_final,AlphaQ-final,public_resynth_alphaq_final,vendored-local,arithmetic,S,6,ok,not-run,results/public_resynth_alphaq_final/public_resynth_alphaq_final/gf_2pow2_mult/assembled.qasm,28,21,7,0.25,8,6,2,147,225,0.09333333333333334,0.5072463768115942,16,15,1.4,0.3,alphaq_final_pairwise_mlp_ranker,,,,,,1.5,2.8790861419157774,0.20429442570449421,0.05,ok,1.2619047619047619,1.5,1.2619047619047619,1.0,1.5,1.0,3.5,3.5,33,53,6,318,63,6,378,20,1,63,,,,,,,,,147,6,1.0,6,1.0,15,67,53,318,0.0660377358490566,0.10204081632653061,0.5374149659863946,0.12069054036709025,ok,,ok,,178,6,21,121,17,161,0.09550561797752809,0.9044943820224719,6,1,18,37,105,76,0.5898876404494382,0.42696629213483145,6,1,59,81,right,105,76,0.5898876404494382,0.42696629213483145,ok,,ok,,1.7272727272727273,0.75,4.045454545454546,3.5,True,True,True,True,equal,,results/verification/entrega1/proofs/gf_2pow2_mult/public_resynth_alphaq_final.verify.txt
hamming_weight_n4,original,Original,original,vendored-local,applications,M,7,ok,not-run,external/circuit-to-tensor/benchmarks/applications/hamming_weight_n4/hamming_weight_n4.qasm,21,21,0,0.0,6,6,0,34,52,0.40384615384615385,0.8713692946058091,16,15,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,6,0.8571428571428571,6,0.8571428571428571,3,31,29,174,0.1206896551724138,0.08823529411764706,0.058823529411764705,0.12749927557229793,ok,,ok,,37,7,21,25,3,34,0.08108108108108109,0.918918918918919,7,1,4,26,5,35,0.13513513513513514,0.9459459459459459,7,1,15,35,right,5,35,0.13513513513513514,0.9459459459459459,ok,,ok,,0.9459459459459459,0.0,1.0,1.0,False,False,False,False,not-applicable,,
hamming_weight_n4,pyzx,PyZX,pyzx,vendored-local,applications,M,7,ok,not-run,results/pyzx/hamming_weight_n4/optimized.qasm,21,21,0,0.0,6,5,1,92,195,0.1076923076923077,0.546875,22,21,1.0,1.4047619047619047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,7,1.0,7,1.0,7,90,84,588,0.03571428571428571,0.07608695652173914,0.010869565217391304,0.02236024844720497,ok,,ok,,117,7,21,48,20,104,0.17094017094017094,0.8888888888888888,7,1,11,49,10,116,0.08547008547008547,0.9914529914529915,7,1,58,116,left,20,104,0.17094017094017094,0.8888888888888888,ok,,ok,,2.810810810810811,1.864864864864865,3.1621621621621623,2.7058823529411766,False,True,True,True,equal,,results/verification/entrega1/proofs/hamming_weight_n4/pyzx.verify.txt
hamming_weight_n4,alphatensor_public,AlphaTensor-public,public_resynth_gadgets,vendored-local,applications,M,7,ok,not-run,results/public_resynth/public_resynth_gadgets/hamming_weight_n4/assembled.qasm,21,21,0,0.0,6,6,0,221,309,0.06796116504854369,0.42168674698795183,16,15,1.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,6,0.6666666666666666,7,0.7777777777777778,10,74,65,455,0.046153846153846156,0.04524886877828054,0.6606334841628959,0.31357968828557065,ok,,ok,,260,9,21,218,15,245,0.057692307692307696,0.9423076923076923,9,1,16,79,165,95,0.6346153846153846,0.36538461538461536,9,1,35,96,right,165,95,0.6346153846153846,0.36538461538461536,ok,,ok,,2.5675675675675675,1.6216216216216215,7.027027027027027,6.5,False,True,True,True,equal,,results/verification/entrega1/proofs/hamming_weight_n4/public_resynth_gadgets.verify.txt
hamming_weight_n4,alphaq_tensor_v3,AlphaQ tensor-v3,public_resynth_tensor_v3,vendored-local,applications,M,7,ok,not-run,results/public_resynth_tensor_v3/public_resynth_tensor_v3/hamming_weight_n4/assembled.qasm,21,21,0,0.0,6,6,0,221,309,0.06796116504854369,0.42168674698795183,16,15,1.4,0.3,tensor-v3,ok,,lex-v1,,,7.676470588235294,,,,ok,2.457983193277311,7.676470588235294,1.911764705882353,1.2857142857142858,5.970588235294118,1.2857142857142858,6.5,8.357142857142858,50,65,9,585,203,9,1827,52,1,203,ok,semantic_role_k2,semantic-role,0.1,0.0,0.36666666666666664,0.0,0;0.366666666667;0;f1491490d6284225,221,6,0.6666666666666666,7,0.7777777777777778,10,74,65,455,0.046153846153846156,0.04524886877828054,0.6606334841628959,0.31357968828557065,ok,,ok,,260,9,21,218,15,245,0.057692307692307696,0.9423076923076923,9,1,16,79,165,95,0.6346153846153846,0.36538461538461536,9,1,35,96,right,165,95,0.6346153846153846,0.36538461538461536,ok,,ok,,2.5675675675675675,1.6216216216216215,7.027027027027027,6.5,False,True,True,True,equal,,results/verification/entrega1/proofs/hamming_weight_n4/public_resynth_tensor_v3.verify.txt
