source_csv,target,objective_variant,materializer,candidate_id,qasm_status,qasm_path,original_qasm_path,tcount,tdepth,qasm_depth,legacy_primary_nc_depth_ratio_input,legacy_structural_status_input,legacy_zx_split_status,legacy_zx_total_depth,legacy_zx_best_side,legacy_zx_best_clifford_depth,legacy_zx_best_nonclifford_depth,legacy_zx_best_clifford_fraction,legacy_zx_num_nonclifford_spiders,legacy_zx_left_closure_iters,legacy_zx_right_closure_iters,paper_zx_split_status,paper_zx_detector_variant,paper_zx_rewrite_status,paper_zx_total_depth,paper_zx_best_side,paper_zx_best_clifford_depth,paper_zx_best_nonclifford_depth,paper_zx_best_clifford_fraction,paper_zx_num_nonclifford_spiders,paper_zx_left_closure_iters,paper_zx_right_closure_iters,paper_zx_vertices_before_rewrite,paper_zx_vertices_after_rewrite,paper_zx_clifford_rewrite_rounds,paper_primary_nc_depth_ratio,paper_structural_target_status,legacy_zx_split_error,paper_zx_split_error
/home/CIN/cacl2/Deep-Learning/project/results/csv/alphaq_objective_beam_policy_external_validation_grid.csv,nc_tof_4,factor_count,selected-shared-parity,,ok,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_objective_beam_policy_external_validation/nc_tof_4/factor_count/selected-shared-parity/assembled.qasm,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_decomposition_objective_external_validation/nc_tof_4/factor_count/shared-parity/nc_tof_4.qasm,24.0,6.0,290.0,,,ok,369,right,287,82,0.7777777777777778,24,1,1,ok,2504.16004-clifford,ok,56,tie,0,56,0.0,24,2,1,779,82,1,1.018181818181818,ok,,
/home/CIN/cacl2/Deep-Learning/project/results/csv/alphaq_objective_beam_policy_external_validation_grid.csv,nc_tof_4,factor_count,selected-beam-shared-parity-w4,,ok,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_objective_beam_policy_external_validation/nc_tof_4/factor_count/selected-beam-shared-parity-w4/assembled.qasm,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_decomposition_objective_external_validation/nc_tof_4/factor_count/shared-parity/nc_tof_4.qasm,24.0,4.0,245.0,,,ok,346,right,278,68,0.8034682080924855,24,1,1,ok,2504.16004-clifford,ok,48,tie,0,48,0.0,24,2,1,767,82,1,0.8727272727272727,ok,,
/home/CIN/cacl2/Deep-Learning/project/results/csv/alphaq_objective_beam_policy_external_validation_grid.csv,nc_tof_4,factor_count,selected-beam-shared-parity-w16,,ok,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_objective_beam_policy_external_validation/nc_tof_4/factor_count/selected-beam-shared-parity-w16/assembled.qasm,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_decomposition_objective_external_validation/nc_tof_4/factor_count/shared-parity/nc_tof_4.qasm,24.0,3.0,243.0,,,ok,336,right,273,63,0.8125,24,1,1,ok,2504.16004-clifford,ok,51,tie,0,51,0.0,24,2,1,743,82,1,0.9272727272727272,ok,,
/home/CIN/cacl2/Deep-Learning/project/results/csv/alphaq_objective_beam_policy_external_validation_grid.csv,nc_tof_4,factor_count_pair_cap,selected-shared-parity,,ok,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_objective_beam_policy_external_validation/nc_tof_4/factor_count_pair_cap/selected-shared-parity/assembled.qasm,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_decomposition_objective_external_validation/nc_tof_4/factor_count/shared-parity/nc_tof_4.qasm,32.0,7.0,287.0,,,ok,351,right,276,75,0.7863247863247863,32,1,1,ok,2504.16004-clifford,ok,58,tie,0,58,0.0,29,2,1,772,98,0,1.0545454545454545,ok,,
/home/CIN/cacl2/Deep-Learning/project/results/csv/alphaq_objective_beam_policy_external_validation_grid.csv,nc_tof_4,factor_count_pair_cap,selected-beam-shared-parity-w4,,ok,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_objective_beam_policy_external_validation/nc_tof_4/factor_count_pair_cap/selected-beam-shared-parity-w4/assembled.qasm,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_decomposition_objective_external_validation/nc_tof_4/factor_count/shared-parity/nc_tof_4.qasm,32.0,6.0,255.0,,,ok,355,right,278,77,0.7830985915492957,32,1,1,ok,2504.16004-clifford,ok,57,tie,0,57,0.0,28,2,1,800,98,0,1.0363636363636364,ok,,
/home/CIN/cacl2/Deep-Learning/project/results/csv/alphaq_objective_beam_policy_external_validation_grid.csv,nc_tof_4,factor_count_pair_cap,selected-beam-shared-parity-w16,,ok,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_objective_beam_policy_external_validation/nc_tof_4/factor_count_pair_cap/selected-beam-shared-parity-w16/assembled.qasm,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_decomposition_objective_external_validation/nc_tof_4/factor_count/shared-parity/nc_tof_4.qasm,32.0,6.0,248.0,,,ok,360,right,280,80,0.7777777777777778,32,1,1,ok,2504.16004-clifford,ok,59,tie,0,59,0.0,28,2,1,792,98,0,1.0727272727272728,ok,,
/home/CIN/cacl2/Deep-Learning/project/results/csv/alphaq_objective_beam_policy_external_validation_grid.csv,nc_tof_4,mixed_pair,selected-shared-parity,,ok,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_objective_beam_policy_external_validation/nc_tof_4/mixed_pair/selected-shared-parity/assembled.qasm,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_decomposition_objective_external_validation/nc_tof_4/factor_count/shared-parity/nc_tof_4.qasm,32.0,6.0,285.0,,,ok,355,right,273,82,0.7690140845070422,32,1,1,ok,2504.16004-clifford,ok,64,tie,0,64,0.0,29,1,1,752,98,0,1.1636363636363636,ok,,
/home/CIN/cacl2/Deep-Learning/project/results/csv/alphaq_objective_beam_policy_external_validation_grid.csv,nc_tof_4,mixed_pair,selected-beam-shared-parity-w4,,ok,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_objective_beam_policy_external_validation/nc_tof_4/mixed_pair/selected-beam-shared-parity-w4/assembled.qasm,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_decomposition_objective_external_validation/nc_tof_4/factor_count/shared-parity/nc_tof_4.qasm,32.0,6.0,250.0,,,ok,359,right,276,83,0.7688022284122563,32,1,1,ok,2504.16004-clifford,ok,57,tie,0,57,0.0,29,2,1,768,98,0,1.0363636363636364,ok,,
/home/CIN/cacl2/Deep-Learning/project/results/csv/alphaq_objective_beam_policy_external_validation_grid.csv,nc_tof_4,mixed_pair,selected-beam-shared-parity-w16,,ok,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_objective_beam_policy_external_validation/nc_tof_4/mixed_pair/selected-beam-shared-parity-w16/assembled.qasm,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_decomposition_objective_external_validation/nc_tof_4/factor_count/shared-parity/nc_tof_4.qasm,32.0,5.0,247.0,,,ok,346,right,273,73,0.7890173410404624,32,1,1,ok,2504.16004-clifford,ok,56,tie,0,56,0.0,29,2,1,756,98,0,1.018181818181818,ok,,
/home/CIN/cacl2/Deep-Learning/project/results/csv/alphaq_objective_beam_policy_external_validation_grid.csv,vbe_adder_3,factor_count,selected-shared-parity,,ok,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_objective_beam_policy_external_validation/vbe_adder_3/factor_count/selected-shared-parity/assembled.qasm,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_decomposition_objective_external_validation/vbe_adder_3/factor_count/shared-parity/vbe_adder_3.qasm,65.0,15.0,438.0,,,ok,548,right,378,170,0.6897810218978102,65,1,1,ok,2504.16004-clifford,ok,119,tie,0,119,0.0,63,2,1,1264,172,1,1.0258620689655173,ok,,
