family_file,method,family_label,circuit_id,num_blocks,best_effective_tcount,best_num_factors,best_n_toffoli_gadgets,best_n_cs_gadgets,best_n_t_remaining,all_tensor_equal,best_decomposition_keys,best_candidate_indices
benchmarks_gadgets.npz,paper_gadgets,benchmark,8_bit_adder,2,94,259,33,0,28,True,8_bit_adder_block1;8_bit_adder_block2,0;0
benchmarks_gadgets.npz,paper_gadgets,benchmark,barenco_tof_10,1,32,112,16,0,0,True,barenco_toff_10,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,barenco_tof_3,1,4,14,2,0,0,True,barenco_toff_3,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,barenco_tof_4,1,8,28,4,0,0,True,barenco_toff_4,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,barenco_tof_5,1,12,42,6,0,0,True,barenco_toff_5,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,csla_mux_3,1,16,56,8,0,0,True,csla_mux_3,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,csum_mux_9,1,28,98,14,0,0,True,csum_mux_9,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,grover_5,2,66,201,27,0,12,True,grover_5_block1;grover_5_block2,0;0
benchmarks_gadgets.npz,paper_gadgets,benchmark,hamming_15_high,9,440,1307,173,2,90,True,hamming_15_high_block1;hamming_15_high_block2;hamming_15_high_block3;hamming_15_high_block4;hamming_15_high_block5;hamming_15_high_block6;hamming_15_high_block7;hamming_15_high_block8;hamming_15_high_block9,0;0;0;0;0;0;0;0;0
benchmarks_gadgets.npz,paper_gadgets,benchmark,hamming_15_low,1,34,119,17,0,0,True,hamming_15_low,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,hamming_15_med,2,78,253,35,0,8,True,hamming_15_med_block1;hamming_15_med_block2,0;0
benchmarks_gadgets.npz,paper_gadgets,benchmark,hwb_6,1,20,70,10,0,0,True,hwb_6,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,mod_5_4,1,2,7,1,0,0,True,mod_5_4,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,mod_adder_1024,10,500,1220,141,15,188,True,mod_adder_1024_block1;mod_adder_1024_block10;mod_adder_1024_block2;mod_adder_1024_block3;mod_adder_1024_block4;mod_adder_1024_block5;mod_adder_1024_block6;mod_adder_1024_block7;mod_adder_1024_block8;mod_adder_1024_block9,0;0;0;0;0;0;0;0;0;0
benchmarks_gadgets.npz,paper_gadgets,benchmark,mod_mult_55,1,6,21,3,0,0,True,mod_mult_55,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,mod_red_21,1,22,77,11,0,0,True,mod_red_21,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,nc_tof_10,1,18,63,9,0,0,True,nc_toff_10,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,nc_tof_3,1,4,14,2,0,0,True,nc_toff_3,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,nc_tof_4,1,6,21,3,0,0,True,nc_toff_4,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,nc_tof_5,1,8,28,4,0,0,True,nc_toff_5,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,qcla_adder_10,2,94,239,28,5,28,True,qcla_adder_10_block1;qcla_adder_10_block2,0;0
benchmarks_gadgets.npz,paper_gadgets,benchmark,qcla_com_7,1,24,84,12,0,0,True,qcla_com_7,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,qcla_mod_7,2,122,337,43,0,36,True,qcla_mod_7_block1;qcla_mod_7_block2,0;0
benchmarks_gadgets.npz,paper_gadgets,benchmark,qft_4,1,44,67,4,3,30,True,qft_4,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,rc_adder_6,1,12,42,6,0,0,True,rc_adder_6,0
benchmarks_gadgets.npz,paper_gadgets,benchmark,vbe_adder_3,1,6,21,3,0,0,True,vbe_adder_3,0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,8_bit_adder,2,139,139,0,0,139,True,8_bit_adder_block1;8_bit_adder_block2,0;0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,barenco_tof_10,1,83,83,0,0,83,True,barenco_toff_10,0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,barenco_tof_3,1,13,13,0,0,13,True,barenco_toff_3,0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,barenco_tof_4,1,23,23,0,0,23,True,barenco_toff_4,0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,barenco_tof_5,1,33,33,0,0,33,True,barenco_toff_5,0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,csla_mux_3,1,39,39,0,0,39,True,csla_mux_3,0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,csum_mux_9,1,71,71,0,0,71,True,csum_mux_9,0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,grover_5,2,152,152,0,0,152,True,grover_5_block1;grover_5_block2,0;0
benchmarks_no_gadgets.npz,paper_no_gadgets,benchmark,hamming_15_high,9,773,773,0,0,773,True,hamming_15_high_block1;hamming_15_high_block2;hamming_15_high_block3;hamming_15_high_block4;hamming_15_high_block5;hamming_15_high_block6;hamming_15_high_block7;hamming_15_high_block8;hamming_15_high_block9,0;0;0;0;0;0;0;0;0
