target,objective_variant,materializer,beam_width,candidate_kind,summary_path,candidate_dir,tcount,tdepth,qasm_depth,num_total_cnots,primary_nc_depth_ratio,qasm_depth_ratio,verification_status,verification_error,proof_path,runtime_sec,original_normalization_status,candidate_normalization_status
barenco_tof_4,frontier_pair,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_core/barenco_tof_4/frontier_pair/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/barenco_tof_4/frontier_pair/selected-beam-shared-parity-w32,64.0,7.0,298.0,162.0,0.9611650485436893,3.01010101010101,equal,,results/verification/alphaq_external_article_core/proofs/barenco_tof_4/frontier_pair/selected-beam-shared-parity-w32.verify.txt,0.10448002815246582,ok,ok
gf_2pow2_mult,factor_count,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_core/gf_2pow2_mult/factor_count/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/gf_2pow2_mult/factor_count/selected-beam-shared-parity-w32,17.0,6.0,97.0,36.0,0.8636363636363636,2.3095238095238093,equal,,results/verification/alphaq_external_article_core/proofs/gf_2pow2_mult/factor_count/selected-beam-shared-parity-w32.verify.txt,0.02584695816040039,ok,ok
gf_2pow2_mult,factor_count_pair_cap,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_core/gf_2pow2_mult/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/gf_2pow2_mult/factor_count_pair_cap/selected-beam-shared-parity-w16,17.0,4.0,99.0,38.0,0.9318181818181818,2.357142857142857,equal,,results/verification/alphaq_external_article_core/proofs/gf_2pow2_mult/factor_count_pair_cap/selected-beam-shared-parity-w16.verify.txt,0.02435588836669922,ok,ok
gf_2pow2_mult,frontier_pair,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_core/gf_2pow2_mult/frontier_pair/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/gf_2pow2_mult/frontier_pair/selected-beam-shared-parity-w32,17.0,4.0,98.0,36.0,0.8863636363636364,2.3333333333333335,equal,,results/verification/alphaq_external_article_core/proofs/gf_2pow2_mult/frontier_pair/selected-beam-shared-parity-w32.verify.txt,0.025567054748535156,ok,ok
gf_2pow2_mult,mixed_pair,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_core/gf_2pow2_mult/mixed_pair/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/gf_2pow2_mult/mixed_pair/selected-beam-shared-parity-w32,17.0,4.0,98.0,36.0,0.8863636363636364,2.3333333333333335,equal,,results/verification/alphaq_external_article_core/proofs/gf_2pow2_mult/mixed_pair/selected-beam-shared-parity-w32.verify.txt,0.025014162063598633,ok,ok
hamming_weight_n4,factor_count,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n4/factor_count/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n4/factor_count/selected-beam-shared-parity-w16,19.0,4.0,164.0,58.0,0.9459459459459459,4.823529411764706,equal,,results/verification/alphaq_external_article_core/proofs/hamming_weight_n4/factor_count/selected-beam-shared-parity-w16.verify.txt,0.025130033493041992,ok,ok
hamming_weight_n4,factor_count_pair_cap,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n4/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n4/factor_count_pair_cap/selected-beam-shared-parity-w16,19.0,4.0,167.0,44.0,0.7567567567567568,4.911764705882353,equal,,results/verification/alphaq_external_article_core/proofs/hamming_weight_n4/factor_count_pair_cap/selected-beam-shared-parity-w16.verify.txt,0.02562689781188965,ok,ok
hamming_weight_n4,frontier_pair,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n4/frontier_pair/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n4/frontier_pair/selected-beam-shared-parity-w16,19.0,3.0,171.0,52.0,0.7567567567567568,5.029411764705882,equal,,results/verification/alphaq_external_article_core/proofs/hamming_weight_n4/frontier_pair/selected-beam-shared-parity-w16.verify.txt,0.022687435150146484,ok,ok
hamming_weight_n4,mixed_pair,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n4/mixed_pair/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n4/mixed_pair/selected-beam-shared-parity-w32,20.0,5.0,170.0,46.0,0.8648648648648649,5.0,equal,,results/verification/alphaq_external_article_core/proofs/hamming_weight_n4/mixed_pair/selected-beam-shared-parity-w32.verify.txt,0.02642822265625,ok,ok
hamming_weight_n5,factor_count,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n5/factor_count/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n5/factor_count/selected-beam-shared-parity-w32,19.0,4.0,179.0,46.0,0.7804878048780488,4.7105263157894735,equal,,results/verification/alphaq_external_article_core/proofs/hamming_weight_n5/factor_count/selected-beam-shared-parity-w32.verify.txt,0.023856163024902344,ok,ok
hamming_weight_n5,factor_count_pair_cap,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n5/factor_count_pair_cap/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n5/factor_count_pair_cap/selected-beam-shared-parity-w32,20.0,4.0,179.0,54.0,0.8536585365853658,4.7105263157894735,equal,,results/verification/alphaq_external_article_core/proofs/hamming_weight_n5/factor_count_pair_cap/selected-beam-shared-parity-w32.verify.txt,0.02267909049987793,ok,ok
hamming_weight_n5,frontier_pair,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n5/frontier_pair/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n5/frontier_pair/selected-beam-shared-parity-w32,19.0,4.0,179.0,46.0,0.7804878048780488,4.7105263157894735,equal,,results/verification/alphaq_external_article_core/proofs/hamming_weight_n5/frontier_pair/selected-beam-shared-parity-w32.verify.txt,0.022017955780029297,ok,ok
hamming_weight_n5,mixed_pair,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n5/mixed_pair/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/hamming_weight_n5/mixed_pair/selected-beam-shared-parity-w16,20.0,3.0,180.0,60.0,0.8292682926829268,4.7368421052631575,equal,,results/verification/alphaq_external_article_core/proofs/hamming_weight_n5/mixed_pair/selected-beam-shared-parity-w16.verify.txt,0.022942066192626953,ok,ok
mod_5_4,factor_count,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_core/mod_5_4/factor_count/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_core/mod_5_4/factor_count/selected-beam-shared-parity-w16,7.0,3.0,37.0,14.0,0.1864406779661017,0.6271186440677966,equal,,results/verification/alphaq_external_article_core/proofs/mod_5_4/factor_count/selected-beam-shared-parity-w16.verify.txt,0.02224588394165039,ok,ok
