target,objective_variant,materializer,beam_width,candidate_kind,summary_path,candidate_dir,tcount,tdepth,qasm_depth,num_total_cnots,primary_nc_depth_ratio,qasm_depth_ratio,verification_status,verification_error,proof_path,runtime_sec,original_normalization_status,candidate_normalization_status
cuccaro_adder_n4,factor_count,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_extended/cuccaro_adder_n4/factor_count/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/cuccaro_adder_n4/factor_count/selected-beam-shared-parity-w32,32.0,4.0,258.0,106.0,0.6274509803921569,2.6597938144329896,inconclusive,"Inconclusive (took 0.033s)
Reduced form:
Σ[y₀⋯y₂](-1)^{y₀ + y₀01 + y₀02 + y₀1 + y₀12 + y₀2 + y₀4 + y₁ + y₁y₂ + y₁0 + y₁8 + y₂ + y₂7 + y₂8 + 0 + 013 + 014 + 023 + 024 + 07 + 08 + 123 + 124 + 34 + 5 + 7 + 78 + 8}|y₂⟩|y₂ + 0 + 1⟩|y₂ + 0 + 2⟩|1 + 3⟩|1 + 4⟩|1 + 5⟩|1 + 6⟩|y₁⟩|y₀⟩",results/verification/alphaq_external_article_extended/proofs/cuccaro_adder_n4/factor_count/selected-beam-shared-parity-w32.verify.txt,0.0959169864654541,ok,ok
cuccaro_adder_n4,factor_count_pair_cap,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_extended/cuccaro_adder_n4/factor_count_pair_cap/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/cuccaro_adder_n4/factor_count_pair_cap/selected-beam-shared-parity-w32,24.0,5.0,254.0,90.0,0.5196078431372549,2.618556701030928,inconclusive,"Inconclusive (took 0.019s)
Reduced form:
Σ[y₀⋯y₂](-1)^{y₀ + y₀01 + y₀02 + y₀1 + y₀12 + y₀2 + y₀4 + y₁ + y₁y₂ + y₁0 + y₁8 + y₂ + y₂7 + y₂8 + 0 + 013 + 014 + 023 + 024 + 07 + 08 + 123 + 124 + 34 + 5 + 7 + 78 + 8}|y₂⟩|y₂ + 0 + 1⟩|y₂ + 0 + 2⟩|1 + 3⟩|1 + 4⟩|1 + 5⟩|1 + 6⟩|y₁⟩|y₀⟩",results/verification/alphaq_external_article_extended/proofs/cuccaro_adder_n4/factor_count_pair_cap/selected-beam-shared-parity-w32.verify.txt,0.03869318962097168,ok,ok
cuccaro_adder_n4,frontier_pair,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_extended/cuccaro_adder_n4/frontier_pair/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/cuccaro_adder_n4/frontier_pair/selected-beam-shared-parity-w32,43.0,5.0,257.0,102.0,0.6176470588235294,2.649484536082474,inconclusive,"Inconclusive (took 0.016s)
Reduced form:
Σ[y₀⋯y₂](-1)^{y₀ + y₀01 + y₀02 + y₀1 + y₀12 + y₀2 + y₀4 + y₁ + y₁y₂ + y₁0 + y₁8 + y₂ + y₂7 + y₂8 + 0 + 013 + 014 + 023 + 024 + 07 + 08 + 123 + 124 + 34 + 5 + 7 + 78 + 8}|y₂⟩|y₂ + 0 + 1⟩|y₂ + 0 + 2⟩|1 + 3⟩|1 + 4⟩|1 + 5⟩|1 + 6⟩|y₁⟩|y₀⟩",results/verification/alphaq_external_article_extended/proofs/cuccaro_adder_n4/frontier_pair/selected-beam-shared-parity-w32.verify.txt,0.0374760627746582,ok,ok
cuccaro_adder_n4,mixed_pair,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_extended/cuccaro_adder_n4/mixed_pair/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/cuccaro_adder_n4/mixed_pair/selected-beam-shared-parity-w32,32.0,6.0,252.0,88.0,0.5588235294117647,2.597938144329897,inconclusive,"Inconclusive (took 0.018s)
Reduced form:
Σ[y₀⋯y₂](-1)^{y₀ + y₀01 + y₀02 + y₀1 + y₀12 + y₀2 + y₀4 + y₁ + y₁y₂ + y₁0 + y₁8 + y₂ + y₂7 + y₂8 + 0 + 013 + 014 + 023 + 024 + 07 + 08 + 123 + 124 + 34 + 5 + 7 + 78 + 8}|y₂⟩|y₂ + 0 + 1⟩|y₂ + 0 + 2⟩|1 + 3⟩|1 + 4⟩|1 + 5⟩|1 + 6⟩|y₁⟩|y₀⟩",results/verification/alphaq_external_article_extended/proofs/cuccaro_adder_n4/mixed_pair/selected-beam-shared-parity-w32.verify.txt,0.03794407844543457,ok,ok
gf_2pow4_mult,factor_count,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_extended/gf_2pow4_mult/factor_count/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/gf_2pow4_mult/factor_count/selected-beam-shared-parity-w32,58.0,7.0,461.0,234.0,0.7553191489361702,3.4661654135338344,inconclusive,"Inconclusive (took 0.175s)
Reduced form:
Σ[y₀⋯y₃]𝑖^{2y₀0 + 2y₀07 + 2y₀1 + 2y₀16 + 2y₀10 + 2y₀11 + 2y₀2 + 2y₀25 + 2y₀34 + 2y₀37 + 2y₀4 + 2y₀5 + 2y₀6 + 2y₁y₂ + 2y₁y₃ + 2y₁04 + 2y₁06 + 2y₁07 + 2y₁1 + 2y₁15 + 2y₁16 + 2y₁17 + 2y₁11 + 2y₁24 + 2y₁25 + 2y₁26 + 2y₁27 + 2y₁3 + 2y₁34 + 2y₁35 + 2y₁36 + 2y₁5 + 2y₁7 + 2y₂y₃ + 2y₂0 + 2y₂05 + 2y₂07 + 2y₂1 + 2y₂14 + 2y₂16 + 2y₂17 + 2y₂10 + 2y₂25 + 2y₂26 + 2y₂27 + 2y₂34 + 2y₂35 + 2y₂36 + 2y₂37 + 2y₂4 + 2y₂5 + 2y₂9 + y₃ + 2y₃0 + 2y₃04 + 2y₃05 + 2y₃06 + 2y₃07 + 2y₃14 + 2y₃15 + 2y₃16 + 2y₃24 + 2y₃25 + 2y₃34 + 2y₃4 + 2y₃8 + 2y₃9 + 20 + 20145 + 20146 + 2016 + 20167 + 2017 + 20106 + 20117 + 2024 + 20245 + 20247 + 2025 + 2026 + 20267 + 20346 + 2035 + 20356 + 20357 + 2037 + 04 + 2046 + 2048 + 205 + 2056 + 2059 + 206 + 21105 + 21116 + 2124 + 21247 + 2125 + 21256 + 21257 + 2126 + 2127 + 21347 + 21356 + 2136 + 21367 + 2137 + 214 + 2146 + 2147 + 2149 + 215 + 2156 + 17 + 2178 + 2179 + 21024 + 21027 + 21036 + 21037 + 211 + 21125 + 21134 + 21137 + 22 + 22345 + 22346 + 22357 + 224 + 2245 + 2246 + 2256 + 2257 + 26 + 2268 + 2269 + 2279 + 2345 + 2347 + 35 + 2356 + 2357 + 2358 + 2359 + 2369 + 24 + 26}|0⟩|1⟩|2⟩|3⟩|4⟩|5⟩|6⟩|7⟩|y₃⟩|y₂⟩|y₀⟩|1 + y₁⟩",results/verification/alphaq_external_article_extended/proofs/gf_2pow4_mult/factor_count/selected-beam-shared-parity-w32.verify.txt,0.20016098022460938,ok,ok
gf_2pow4_mult,factor_count_pair_cap,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_extended/gf_2pow4_mult/factor_count_pair_cap/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/gf_2pow4_mult/factor_count_pair_cap/selected-beam-shared-parity-w32,56.0,6.0,462.0,230.0,0.7393617021276596,3.473684210526316,inconclusive,"Inconclusive (took 0.181s)
Reduced form:
Σ[y₀⋯y₃]𝑖^{2y₀0 + 2y₀07 + 2y₀1 + 2y₀16 + 2y₀10 + 2y₀11 + 2y₀2 + 2y₀25 + 2y₀34 + 2y₀37 + 2y₀4 + 2y₀5 + 2y₀6 + 2y₁y₂ + 2y₁y₃ + 2y₁04 + 2y₁06 + 2y₁07 + 2y₁1 + 2y₁15 + 2y₁16 + 2y₁17 + 2y₁11 + 2y₁24 + 2y₁25 + 2y₁26 + 2y₁27 + 2y₁3 + 2y₁34 + 2y₁35 + 2y₁36 + 2y₁5 + 2y₁7 + 2y₂y₃ + 2y₂0 + 2y₂05 + 2y₂07 + 2y₂1 + 2y₂14 + 2y₂16 + 2y₂17 + 2y₂10 + 2y₂25 + 2y₂26 + 2y₂27 + 2y₂34 + 2y₂35 + 2y₂36 + 2y₂37 + 2y₂4 + 2y₂5 + 2y₂9 + y₃ + 2y₃0 + 2y₃04 + 2y₃05 + 2y₃06 + 2y₃07 + 2y₃14 + 2y₃15 + 2y₃16 + 2y₃24 + 2y₃25 + 2y₃34 + 2y₃4 + 2y₃8 + 2y₃9 + 20 + 20145 + 20146 + 2016 + 20167 + 2017 + 20106 + 20117 + 2024 + 20245 + 20247 + 2025 + 2026 + 20267 + 20346 + 2035 + 20356 + 20357 + 2037 + 04 + 2046 + 2048 + 205 + 2056 + 2059 + 206 + 21105 + 21116 + 2124 + 21247 + 2125 + 21256 + 21257 + 2126 + 2127 + 21347 + 21356 + 2136 + 21367 + 2137 + 214 + 2146 + 2147 + 2149 + 215 + 2156 + 17 + 2178 + 2179 + 21024 + 21027 + 21036 + 21037 + 211 + 21125 + 21134 + 21137 + 22 + 22345 + 22346 + 22357 + 224 + 2245 + 2246 + 2256 + 2257 + 26 + 2268 + 2269 + 2279 + 2345 + 2347 + 35 + 2356 + 2357 + 2358 + 2359 + 2369 + 24 + 26}|0⟩|1⟩|2⟩|3⟩|4⟩|5⟩|6⟩|7⟩|y₃⟩|y₂⟩|y₀⟩|1 + y₁⟩",results/verification/alphaq_external_article_extended/proofs/gf_2pow4_mult/factor_count_pair_cap/selected-beam-shared-parity-w32.verify.txt,0.2051832675933838,ok,ok
gf_2pow4_mult,frontier_pair,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_extended/gf_2pow4_mult/frontier_pair/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/gf_2pow4_mult/frontier_pair/selected-beam-shared-parity-w32,64.0,9.0,465.0,244.0,0.7393617021276596,3.4962406015037595,inconclusive,"Inconclusive (took 0.167s)
Reduced form:
Σ[y₀⋯y₃]𝑖^{2y₀0 + 2y₀07 + 2y₀1 + 2y₀16 + 2y₀10 + 2y₀11 + 2y₀2 + 2y₀25 + 2y₀34 + 2y₀37 + 2y₀4 + 2y₀5 + 2y₀6 + 2y₁y₂ + 2y₁y₃ + 2y₁04 + 2y₁06 + 2y₁07 + 2y₁1 + 2y₁15 + 2y₁16 + 2y₁17 + 2y₁11 + 2y₁24 + 2y₁25 + 2y₁26 + 2y₁27 + 2y₁3 + 2y₁34 + 2y₁35 + 2y₁36 + 2y₁5 + 2y₁7 + 2y₂y₃ + 2y₂0 + 2y₂05 + 2y₂07 + 2y₂1 + 2y₂14 + 2y₂16 + 2y₂17 + 2y₂10 + 2y₂25 + 2y₂26 + 2y₂27 + 2y₂34 + 2y₂35 + 2y₂36 + 2y₂37 + 2y₂4 + 2y₂5 + 2y₂9 + y₃ + 2y₃0 + 2y₃04 + 2y₃05 + 2y₃06 + 2y₃07 + 2y₃14 + 2y₃15 + 2y₃16 + 2y₃24 + 2y₃25 + 2y₃34 + 2y₃4 + 2y₃8 + 2y₃9 + 20 + 20145 + 20146 + 2016 + 20167 + 2017 + 20106 + 20117 + 2024 + 20245 + 20247 + 2025 + 2026 + 20267 + 20346 + 2035 + 20356 + 20357 + 2037 + 04 + 2046 + 2048 + 205 + 2056 + 2059 + 206 + 21105 + 21116 + 2124 + 21247 + 2125 + 21256 + 21257 + 2126 + 2127 + 21347 + 21356 + 2136 + 21367 + 2137 + 214 + 2146 + 2147 + 2149 + 215 + 2156 + 17 + 2178 + 2179 + 21024 + 21027 + 21036 + 21037 + 211 + 21125 + 21134 + 21137 + 22 + 22345 + 22346 + 22357 + 224 + 2245 + 2246 + 2256 + 2257 + 26 + 2268 + 2269 + 2279 + 2345 + 2347 + 35 + 2356 + 2357 + 2358 + 2359 + 2369 + 24 + 26}|0⟩|1⟩|2⟩|3⟩|4⟩|5⟩|6⟩|7⟩|y₃⟩|y₂⟩|y₀⟩|1 + y₁⟩",results/verification/alphaq_external_article_extended/proofs/gf_2pow4_mult/frontier_pair/selected-beam-shared-parity-w32.verify.txt,0.1891629695892334,ok,ok
gf_2pow4_mult,mixed_pair,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_extended/gf_2pow4_mult/mixed_pair/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/gf_2pow4_mult/mixed_pair/selected-beam-shared-parity-w32,63.0,9.0,452.0,208.0,0.7021276595744681,3.398496240601504,inconclusive,"Inconclusive (took 0.155s)
Reduced form:
Σ[y₀⋯y₃]𝑖^{2y₀0 + 2y₀07 + 2y₀1 + 2y₀16 + 2y₀10 + 2y₀11 + 2y₀2 + 2y₀25 + 2y₀34 + 2y₀37 + 2y₀4 + 2y₀5 + 2y₀6 + 2y₁y₂ + 2y₁y₃ + 2y₁04 + 2y₁06 + 2y₁07 + 2y₁1 + 2y₁15 + 2y₁16 + 2y₁17 + 2y₁11 + 2y₁24 + 2y₁25 + 2y₁26 + 2y₁27 + 2y₁3 + 2y₁34 + 2y₁35 + 2y₁36 + 2y₁5 + 2y₁7 + 2y₂y₃ + 2y₂0 + 2y₂05 + 2y₂07 + 2y₂1 + 2y₂14 + 2y₂16 + 2y₂17 + 2y₂10 + 2y₂25 + 2y₂26 + 2y₂27 + 2y₂34 + 2y₂35 + 2y₂36 + 2y₂37 + 2y₂4 + 2y₂5 + 2y₂9 + y₃ + 2y₃0 + 2y₃04 + 2y₃05 + 2y₃06 + 2y₃07 + 2y₃14 + 2y₃15 + 2y₃16 + 2y₃24 + 2y₃25 + 2y₃34 + 2y₃4 + 2y₃8 + 2y₃9 + 20 + 20145 + 20146 + 2016 + 20167 + 2017 + 20106 + 20117 + 2024 + 20245 + 20247 + 2025 + 2026 + 20267 + 20346 + 2035 + 20356 + 20357 + 2037 + 04 + 2046 + 2048 + 205 + 2056 + 2059 + 206 + 21105 + 21116 + 2124 + 21247 + 2125 + 21256 + 21257 + 2126 + 2127 + 21347 + 21356 + 2136 + 21367 + 2137 + 214 + 2146 + 2147 + 2149 + 215 + 2156 + 17 + 2178 + 2179 + 21024 + 21027 + 21036 + 21037 + 211 + 21125 + 21134 + 21137 + 22 + 22345 + 22346 + 22357 + 224 + 2245 + 2246 + 2256 + 2257 + 26 + 2268 + 2269 + 2279 + 2345 + 2347 + 35 + 2356 + 2357 + 2358 + 2359 + 2369 + 24 + 26}|0⟩|1⟩|2⟩|3⟩|4⟩|5⟩|6⟩|7⟩|y₃⟩|y₂⟩|y₀⟩|1 + y₁⟩",results/verification/alphaq_external_article_extended/proofs/gf_2pow4_mult/mixed_pair/selected-beam-shared-parity-w32.verify.txt,0.17501592636108398,ok,ok
hamming_weight_n6,factor_count,selected-beam-shared-parity-w16,16,,results/alphaq_objective_beam_policy_external_validation_article_extended/hamming_weight_n6/factor_count/selected-beam-shared-parity-w16/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/hamming_weight_n6/factor_count/selected-beam-shared-parity-w16,25.0,3.0,172.0,88.0,0.9056603773584906,4.777777777777778,equal,,results/verification/alphaq_external_article_extended/proofs/hamming_weight_n6/factor_count/selected-beam-shared-parity-w16.verify.txt,0.023844242095947266,ok,ok
hamming_weight_n6,factor_count_pair_cap,selected-beam-shared-parity-w32,32,,results/alphaq_objective_beam_policy_external_validation_article_extended/hamming_weight_n6/factor_count_pair_cap/selected-beam-shared-parity-w32/summary.json,results/alphaq_objective_beam_policy_external_validation_article_extended/hamming_weight_n6/factor_count_pair_cap/selected-beam-shared-parity-w32,25.0,4.0,168.0,64.0,0.7547169811320755,4.666666666666667,equal,,results/verification/alphaq_external_article_extended/proofs/hamming_weight_n6/factor_count_pair_cap/selected-beam-shared-parity-w32.verify.txt,0.02627420425415039,ok,ok
