verification_root,target,objective_variant,materializer,tcount,qasm_depth,verification_status,verification_error,postselection_constant_abs,candidate_is_scaled_isometry,isometry_alpha,residual,runtime_sec,correction_side,correction_x_frame_weight,correction_parity_changes,correction_phase_degree,defect_signature
results/verification/alphaq_external_article_core,nc_tof_4,mixed_pair,selected-beam-shared-parity-w16,42.0,255.0,equal-numeric,,0.25,True,0.0625,2.11e-15,2.25,,,,,
results/verification/alphaq_external_article_extended,cuccaro_adder_n4,factor_count,selected-beam-shared-parity-w32,32.0,259.0,equal-block-exact,,,,,,0.01,,,,,
results/verification/alphaq_external_article_extended,cuccaro_adder_n4,factor_count_pair_cap,selected-beam-shared-parity-w32,24.0,254.0,equal-block-exact,,,,,,0.00,,,,,
results/verification/alphaq_external_article_extended,cuccaro_adder_n4,frontier_pair,selected-beam-shared-parity-w32,43.0,257.0,equal-block-exact,,,,,,0.00,,,,,
results/verification/alphaq_external_article_extended,cuccaro_adder_n4,mixed_pair,selected-beam-shared-parity-w32,32.0,251.0,equal-block-exact,,,,,,0.00,,,,,
results/verification/alphaq_external_article_extended,gf_2pow4_mult,factor_count,selected-beam-shared-parity-w32,58.0,461.0,equal-block-exact,,,,,,0.01,,,,,
results/verification/alphaq_external_article_extended,gf_2pow4_mult,factor_count_pair_cap,selected-beam-shared-parity-w32,56.0,462.0,equal-block-exact,,,,,,0.01,,,,,
results/verification/alphaq_external_article_extended,gf_2pow4_mult,frontier_pair,selected-beam-shared-parity-w32,64.0,465.0,equal-block-exact,,,,,,0.01,,,,,
results/verification/alphaq_external_article_extended,gf_2pow4_mult,mixed_pair,selected-beam-shared-parity-w32,63.0,452.0,equal-block-exact,,,,,,0.01,,,,,
results/verification/alphaq_external_article_extended,mod_mult_55,mixed_pair,selected-beam-shared-parity-w4,18.0,252.0,equal-numeric,,0.353553,True,0.125,4e-15,9.07,,,,,
