task_index,num_tasks,circuit_id,method,method_status,original_qasm_artifact_path,candidate_qasm_artifact_path,tcount_before,tcount_after,verification_status,verification_error,proof_path,runtime_sec,original_normalization_status,candidate_normalization_status
1,69,cuccaro_adder_n3,compile_no_quizx,ok,external/circuit-to-tensor/benchmarks/applications/cuccaro_adder_n3/cuccaro_adder_n3.qasm,external/circuit-to-tensor/benchmarks/applications/cuccaro_adder_n3/cuccaro_adder_n3.hopt.qasm,42,16,equal,,results/verification/entrega1/proofs/cuccaro_adder_n3/compile_no_quizx.verify.txt,0.06352615356445312,ok,ok
2,69,cuccaro_adder_n3,compile_quizx,ok,external/circuit-to-tensor/benchmarks/applications/cuccaro_adder_n3/cuccaro_adder_n3.qasm,results/compile_stage1/quizx/cuccaro_adder_n3/cuccaro_adder_n3.hopt.qasm,42,16,equal,,results/verification/entrega1/proofs/cuccaro_adder_n3/compile_quizx.verify.txt,0.02237224578857422,ok,ok
3,69,cuccaro_adder_n3,public_resynth_gadgets,ok,external/circuit-to-tensor/benchmarks/applications/cuccaro_adder_n3/cuccaro_adder_n3.qasm,results/public_resynth/public_resynth_gadgets/cuccaro_adder_n3/assembled.qasm,42,14,inconclusive,"Inconclusive (took 0.011s)
Reduced form:
Σ[y₀⋯y₂](-1)^{y₀ + y₀01 + y₀02 + y₀1 + y₀12 + y₀2 + y₀3 + y₁ + y₁y₂ + y₁3 + y₁6 + y₂ + y₂5 + y₂6 + 3 + 35 + 36 + 5 + 56 + 6}|0⟩|1⟩|2⟩|1 + y₂⟩|1 + y₂ + 3 + 4⟩|1 + y₁⟩|y₀⟩",results/verification/entrega1/proofs/cuccaro_adder_n3/public_resynth_gadgets.verify.txt,0.034973859786987305,ok,ok
4,69,cuccaro_adder_n3,public_resynth_reranker,ok,external/circuit-to-tensor/benchmarks/applications/cuccaro_adder_n3/cuccaro_adder_n3.qasm,results/public_resynth_reranker/public_resynth_reranker/cuccaro_adder_n3/assembled.qasm,42,14,inconclusive,"Inconclusive (took 0.010s)
Reduced form:
Σ[y₀⋯y₂](-1)^{y₀ + y₀01 + y₀02 + y₀1 + y₀12 + y₀2 + y₀3 + y₁ + y₁y₂ + y₁3 + y₁6 + y₂ + y₂5 + y₂6 + 3 + 35 + 36 + 5 + 56 + 6}|0⟩|1⟩|2⟩|1 + y₂⟩|1 + y₂ + 3 + 4⟩|1 + y₁⟩|y₀⟩",results/verification/entrega1/proofs/cuccaro_adder_n3/public_resynth_reranker.verify.txt,0.03662991523742676,ok,ok
5,69,cuccaro_adder_n3,public_resynth_structural,ok,external/circuit-to-tensor/benchmarks/applications/cuccaro_adder_n3/cuccaro_adder_n3.qasm,results/public_resynth_structural/public_resynth_structural/cuccaro_adder_n3/assembled.qasm,42,14,inconclusive,"Inconclusive (took 0.011s)
Reduced form:
Σ[y₀⋯y₂](-1)^{y₀ + y₀01 + y₀02 + y₀1 + y₀12 + y₀2 + y₀3 + y₁ + y₁y₂ + y₁3 + y₁6 + y₂ + y₂5 + y₂6 + 3 + 35 + 36 + 5 + 56 + 6}|0⟩|1⟩|2⟩|1 + y₂⟩|1 + y₂ + 3 + 4⟩|1 + y₁⟩|y₀⟩",results/verification/entrega1/proofs/cuccaro_adder_n3/public_resynth_structural.verify.txt,0.036647796630859375,ok,ok
6,69,cuccaro_adder_n3,pyzx,ok,external/circuit-to-tensor/benchmarks/applications/cuccaro_adder_n3/cuccaro_adder_n3.qasm,results/pyzx/cuccaro_adder_n3/optimized.qasm,42,16,equal,,results/verification/entrega1/proofs/cuccaro_adder_n3/pyzx.verify.txt,0.09756898880004883,ok,ok
7,69,gf_2pow2_mult,compile_no_quizx,ok,external/circuit-to-tensor/benchmarks/arithmetic/gf_2pow2_mult/gf_2pow2_mult.qasm,external/circuit-to-tensor/benchmarks/arithmetic/gf_2pow2_mult/gf_2pow2_mult.hopt.qasm,28,18,equal,,results/verification/entrega1/proofs/gf_2pow2_mult/compile_no_quizx.verify.txt,0.022817134857177734,ok,ok
8,69,gf_2pow2_mult,compile_quizx,ok,external/circuit-to-tensor/benchmarks/arithmetic/gf_2pow2_mult/gf_2pow2_mult.qasm,results/compile_stage1/quizx/gf_2pow2_mult/gf_2pow2_mult.hopt.qasm,28,18,equal,,results/verification/entrega1/proofs/gf_2pow2_mult/compile_quizx.verify.txt,0.02217698097229004,ok,ok
9,69,gf_2pow2_mult,public_resynth_alphaq_final,ok,external/circuit-to-tensor/benchmarks/arithmetic/gf_2pow2_mult/gf_2pow2_mult.qasm,results/public_resynth_alphaq_final/public_resynth_alphaq_final/gf_2pow2_mult/assembled.qasm,28,21,equal,,results/verification/entrega1/proofs/gf_2pow2_mult/public_resynth_alphaq_final.verify.txt,0.03900599479675293,ok,ok
10,69,gf_2pow2_mult,public_resynth_gadgets,ok,external/circuit-to-tensor/benchmarks/arithmetic/gf_2pow2_mult/gf_2pow2_mult.qasm,results/public_resynth/public_resynth_gadgets/gf_2pow2_mult/assembled.qasm,28,21,equal,,results/verification/entrega1/proofs/gf_2pow2_mult/public_resynth_gadgets.verify.txt,0.03780078887939453,ok,ok
